Original Transcription,Corrected Transcription
No one finds the key.,No one finds the key.
No one gets the rice or that flint.,No one gets the rice or that flint.
"Gonna be a dry, hungry night.","going to be a dry, hungry night."
This is it right here.,This is it right here.
Isabelle testing the rules early in this game.,Isabelle testing the rules early in this game.
"Keep working, guys.","Keep working, guys."
Now or never.,Now or never.
"10, 9, 8, 7.","10, 9, 8, 7."
"Come on, guys.","Come on, guys."
"5, 3, 2, 1.","5, 3, 2, 1."
Stop.,Stop.
Your time is over.,Your time is over.
"Oh, they're doing that kind of thing.","Oh, they're doing that kind of thing."
Sure.,Sure.
"Oh, did somebody take my.","Oh, did somebody take my."
"Oh, great.","Oh, great."
We're that tribe.,We're that tribe.
Wasn't a nice feeling to see that the other team took most of our good stuff.,Wasn't a nice feeling to see that the other team took most of our good stuff.
We all got back to the mats and see that we had hardly anything there.,We all got back to the mats and see that we had hardly anything there.
It was definitely a bit of a blow.,It was definitely a bit of a blow.
They looked pretty smug.,They looked pretty smug.
They were ripping us off.,They were ripping us off.
"So I actually saw Isabelle come along and grab some stuff, and I thought maybe they've just got on the wrong map.","So I actually saw Isabelle come along and grab some stuff, and I thought maybe they've just got on the wrong map."
I cannot believe that I didn't react.,I cannot believe that I didn't react.
Gutted.,Gutted.
Stole out there.,Stole out there.
Did they take them in that thing?,Did they take them in that thing?
Yeah.,Yeah.
"I didn't see what she was doing, but it sounded like she.","I didn't see what she was doing, but it sounded like she."
She stole quite a lot from the other men.,She stole quite a lot from the other men.
It.,It.
They got a good call.,They got a good call.
"Got all three nos, bro.","Got all three nos, bro."
I feel a little bit bad for the other sides because they had nothing.,I feel a little bit bad for the other sides because they had nothing.
Mogaton looking like the clear winners in this game.,Mogaton looking like the clear winners in this game.
Yeah.,Yeah.
"Tony, what was the game plan?","Tony, what was the game plan?"
"Everyone going helpful to get what they could get, Eh.","Everyone going helpful to get what they could get, Eh."
I could not believe when I looked down how much gear there was on that map.,I could not believe when I looked down how much gear there was on that map.
"I looked over the other tribe and I go, oh, I know which tribe I'm glad to be in.","I looked over the other tribe and I go, oh, I know which tribe I'm glad to be in."
Yeah.,Yeah.
And Isabelle playing the game early.,And Isabelle playing the game early.
"Well, it's.","Well, it's."
It's a strategy.,It's a strategy.
And this is a game.,And this is a game.
And I did what I could.,And I did what I could.
I read between the lines.,I read between the lines.
"I'm not a bitter person, but.","I'm not a bitter person, but."
"No, actually, I'm a very bitter person.","No, actually, I'm a very bitter person."
I'm not happy at all.,I'm not happy at all.
I'm pretty pissed off.,I'm pretty pissed off.
Maybe we should give them a knife.,Maybe we should give them a knife.
I'll give them a knife at the end.,I'll give them a knife at the end.
"Dee, is this how you wanted to start this game?","Dee, is this how you wanted to start this game?"
We're here to play Survivor.,We're here to play Survivor.
I've got a pot.,I've got a pot.
I'm good at one point.,I'm good at one point.
We'll get fire.,We'll get fire.
You always end up with fire.,You always end up with fire.
I got a good team.,I got a good team.
I got a squished melon.,I got a squished melon.
I'm all right.,I'm all right.
"All right, guys, grab your loot.","All right, guys, grab your loot."
Set up camp for the first time.,Set up camp for the first time.
"Mogaton, you're going that way.","Mogaton, you're going that way."
Here's a map to your can.,Here's a map to your can.
"Nice can, Luke.","Nice can, Luke."
There you go.,There you go.
"Mimosa, you're going that away.","Hermosa, you're going that away."
Also want you to start thinking about tonight's first Tribal Council and who you'll be voting out of this tribe.,Also want you to start thinking about tonight's first Tribal Council and who you'll be voting out of this tribe.
See you at tribal.,See you at tribal.
Can I just say one thing?,Can I just say one thing?
I just wanna.,I just want to.
I feel bad if you don't have A knife.,I feel bad if you don't have A knife.
So I'll grab your knife.,So I'll grab your knife.
"Go on, make.","Go on, make."
"No, no, no.","No, no, no."
Grab that knife.,Grab that knife.
Check.,Check.
I didn't want to take it.,I didn't want to take it.
"The whole principle is, if you're gonna steal, then you gotta live with the consequences of looking like a bit of a villain.","The whole principle is, if you're going to steal, then you gotta live with the consequences of looking like a bit of a villain."
"Isabelle, what was that about?","Isabelle, what was that about?"
"I think a knife is essential, and if you didn't have that, I couldn't imagine going into the bush without one.","I think a knife is essential, and if you didn't have that, I couldn't imagine going into the bush without one."
"Isabelle, you're being nice right off the bat.","Isabelle, you're being nice right off the bat."
Yeah.,Yeah.
I'm confused by your strategy.,I'm confused by your strategy.
"Well, I have morals and I have a moral compass as well, and so, you know, I feel bad for them as well.","Well, I have morals and I have a moral compass as well, and so, you know, I feel bad for them as well."
"It is a game at the end of the day, and it was just part of the strategy.","It is a game at the end of the day, and it was just part of the strategy."
"Awesome, mate.","Awesome, mate."
This is the beach.,This is the beach.
This is wicked Little Point break over there.,This is wicked Little Point break over there.
Tom.,Tom.
"Yeah, Mike.","Yeah, Mike."
This is our home for the next however long.,This is our home for the next however long.
"Guys walking together, we're all really stoked, you know, for winning and we're just carrying all our goods and we're looking out in the ocean, you see these pelicans and you realize we're not in South Auckland anymore.","Guys walking together, we're all really stoked, you know, for winning and we're just carrying all our goods and we're looking out in the ocean, you see these pelicans and you realize we're not in South Auckland anymore."
Nice.,Nice.
"As soon as we saw our flag, we knew, oh, this is home base.","As soon as we saw our flag, we knew, oh, this is home base."
"Yeah, it's sunk in.","Yeah, it's sunk in."
We're here.,We're here.
"One, two, three.","One, two, three."
We'll go over here in the shade and we'll just get out of the sailing.,We'll go over here in the shade and we'll just get out of the sailing.
We'll have a quick chat and we'll get into it.,We'll have a quick chat and we'll get into it.
You leave all your gear here.,You leave all your gear here.
"Okay, guys, just a suggestion.","Okay, guys, just a suggestion."
"I've got a bit of experience working in bush like this, how to set up a camp, toilet and all the rest of it.","I've got a bit of experience working in bush like this, how to set up a camp, toilet and all the rest of it."
"But we're a team and I think if we play together, everybody's got input, a bit of a say on what goes on, eh?","But we're a team and I think if we play together, everybody's got input, a bit of a say on what goes on, eh?"
Old coral Matuatoni.,Old coral Matuatoni.
"Yeah, man, he's the man.","Yeah, man, he's the man."
"He's got a lot of experience, man, a lot of knowledge, and he's not shy to share it.","He's got a lot of experience, man, a lot of knowledge, and he's not shy to share it."
"Just remember, when you're working around in this environment, although it may look open every time you go to touch something, give it a bit of a kick or find yourself a stick and give it a bit of a shuffle, because there's always going to be something around and more so when it gets dark.","Just remember, when you're working around in this environment, although it may look open every time you go to touch something, give it a bit of a kick or find yourself a stick and give it a bit of a shuffle, because there's always going to be something around and more so when it gets dark."
I don't mind being a leader at all.,I don't mind being a leader at all.
I do have a considerable amount of experience and I will use that in every way I can to benefit this tribe.,I do have a considerable amount of experience and I will use that in every way I can to benefit this tribe.
They send me as valuable as part of my plan anyway.,They send me as valuable as part of my plan anyway.
Make yourself valuable.,Make yourself valuable.
Don't be just a extra body on the ground.,Don't be just a extra body on the ground.
"If we can all just have a look around the general area and we'll Just bring it all in and then we'll see what we got and figure out what we're going to build, eh?","If we can all just have a look around the general area and we'll Just bring it all in and then we'll see what we got and figure out what we're going to build, eh?"
Alright.,Alright.
The first thing that I noticed about the tribe members is that that a lot of people are standoffish and I'm wondering if it's because of Tony being so direct.,The first thing that I noticed about the tribe members is that that a lot of people are standoffish and I'm wondering if it's because of Tony being so direct.
"As soon as we walk in, he knew what he thought we needed to do, who was in charge and so we kind of let it happen.","As soon as we walk in, he knew what he thought we needed to do, who was in charge and so we kind of let it happen."
Yeah.,Yeah.
You've got some stuff a bit rotten.,You've got some stuff a bit rotten.
"Give it a good kick first, eh?","Give it a good kick first, eh?"
Yeah.,Yeah.
"Tony, were you thinking just to build our actual structure in this little area here?","Tony, were you thinking just to build our actual structure in this little area here?"
Yeah.,Yeah.
I don't mind Tony taking a leadership role in this truck.,I don't mind Tony taking a leadership role in this truck.
"Kind of takes the focus off me a little bit, I guess.","Kind of takes the focus off me a little bit, I guess."
"No, no.","No, no."
We'll just try and overlap and then I can show you how to try Square lash.,We'll just try and overlap and then I can show you how to try Square lash.
Yeah.,Yeah.
Could you take it?,Could you take it?
Yeah.,Yeah.
To that far that.,To that far that.
Onto that one.,Onto that one.
I had a better idea.,I had a better idea.
Yeah.,Yeah.
"Okay, guys, we need to site the toilet away from our camp but not too far away that, you know, if the girls will want to come down here.","Okay, guys, we need to site the toilet away from our camp but not too far away that, you know, if the girls will want to come down here."
They're not going to find it the way off in the bush and they get lost and maybe get bitten by something.,They're not going to find it the way off in the bush and they get lost and maybe get bitten by something.
So I think we'll use this initially.,So I think we'll use this initially.
We'll dig one here.,We'll dig one here.
"I mean, we'll dig it deep enough for about two or three days.","I mean, we'll dig it deep enough for about two or three days."
"So you probably want to hole about say, two feet deep.","So you probably want to hole about say, two feet deep."
Yeah.,Yeah.
"See, I'll go get him a shitty.","See, I'll go get him a shitty."
"I mean, Tony's here because he loves it.","I mean, Tony's here because he loves it."
I think he's.,I think he's.
"He's here for the experience like, so I don't see him as a huge threat.","He's here for the experience like, so I don't see him as a huge threat."
Yeah.,Yeah.
"I want to try and, you know, side of him and still keep him close.","I want to try and, you know, side of him and still keep him close."
I knew I've got stuff to learn off a dude like that.,I knew I've got stuff to learn off a dude like that.
He's cool.,He's cool.
"How's the loo going, Tom?","How's the loo going, Tom?"
Just clearing it out.,Just clearing it out.
Have you talked to Lou?,Have you talked to Lou?
Not really.,Not really.
I just.,I just.
We.,We.
I think we've all agreed on Hannah.,I think we've all agreed on Hannah.
Yeah.,Yeah.
Okay.,Okay.
Yeah.,Yeah.
My biggest concern going into tribal would be that I get blindsided.,My biggest concern going into tribal would be that I get blindsided.
"I don't know these people yet and there's always going to be doubt, but this first day there's a lot of doubt.","I don't know these people yet and there's always going to be doubt, but this first day there's a lot of doubt."
I wanted to kill it so we can have it for our dinner.,I wanted to kill it so we can have it for our dinner.
I don't want it to claw me.,I don't want it to claw me.
"It might just claw onto your sticker, then you can carry it.","It might just claw onto your sticker, then you can carry it."
I caught up dinner.,I caught up dinner.
Yeah.,Yeah.
It's more like an entree.,It's more like an entree.
Eh.,Eh.
Entree.,Entree.
"Tom was just like, I'm really impressed with why you just like we're bossing that challenge and just like throwing Your body on there and you're looking pretty strong.","Tom was just like, I'm really impressed with why you just like we're bossing that challenge and just like throwing Your body on there and you're looking pretty strong."
"I was like, bro, I told you I was a powerlifter and you just immediately wrote me off and like, fat girl not gonna be strong.","I was like, bro, I told you I was a powerlifter and you just immediately wrote me off and like, fat girl not going to be strong."
Gonna be the weakling.,going to be the weakling.
My immediate reaction with boating would be Tom.,My immediate reaction with boating would be Tom.
I think he could be quite dangerous.,I think he could be quite dangerous.
I'm a little bit worried what he could do.,I'm a little bit worried what he could do.
"He was part of an alliance, like.","He was part of an alliance, like."
Yeah.,Yeah.
One that was naturally created before the tribes were announced.,One that was naturally created before the tribes were announced.
Yeah.,Yeah.
First person on my hit list is Tom.,First person on my hit list is Tom.
"I mean, I have to say it, he's a threat because I know he has some strong people that he's quite close with from the other tribe.","I mean, I have to say it, he's a threat because I know he has some strong people that he's quite close with from the other tribe."
You have to look out for people who might potentially send you home.,You have to look out for people who might potentially send you home.
And he's one of those people.,And he's one of those people.
"But I just really think Tom just because he, for me, he seems unpredictable.","But I just really think Tom just because he, for me, he seems unpredictable."
Like you don't know what side.,Like you don't know what side.
"No, I don't know where his loyals.","No, I don't know where his loyals."
He's real cool.,He's real cool.
"Like, he's a real decent guy.","Like, he's a real decent guy."
"But in terms of strategy, once you stick with someone, like that's it, you're there.","But in terms of strategy, once you stick with someone, like that's it, you're there."
I will be voting for Tom tonight because I don't find him 100% trustworthy.,I will be voting for Tom tonight because I don't find him 100% trustworthy.
"Well, are you okay with it as long as you don't turn around and.","Well, are you okay with it as long as you don't turn around and."
"No, like, for sure.","No, like, for sure."
100%.,100%.
Thank you.,Thank you.
Promise.,Promise.
Okay.,Okay.
I'm good with it.,I'm good with it.
Tom has to go and Izzy and Hannah agree.,Tom has to go and Izzy and Hannah agree.
"Guys, we have to come back with something.","Guys, we have to come back with something."
Otherwise it just looks dodgy.,Otherwise it just looks dodgy.
"Bro, bro, bro.","Bro, bro, bro."
Coming through.,Coming through.
"Oh, this is going to be a mean fire by the time we're done right here.","Oh, this is going to be a mean fire by the time we're done right here."
You're insane.,You're insane.
Eh.,Eh.
Woohoo.,Woohoo.
Oh my God.,Oh my God.
Look at this.,Look at this.
"Oh, yeah.","Oh, yeah."
Yeah.,Yeah.
Look at you.,Look at you.
I promise my greatest strength to this tribe would be my strength.,I promise my greatest strength to this tribe would be my strength.
"So I was picking up boulders and not boulders, but really big rocks and bringing them over.","So I was picking up boulders and not boulders, but really big rocks and bringing them over."
I'd like to say it was a boulder.,I'd like to say it was a boulder.
"I'm like, this is Hannah's pile.","I'm like, this is Hannah's pile."
"Oh, it actually is.","Oh, it actually is."
I think Hannah is strong as hell mentally and physically.,I think Hannah is strong as hell mentally and physically.
She's really tough.,She's really tough.
I just know that there's a lot of very physical group challenges coming up and no team wants to be slowed down at all.,I just know that there's a lot of very physical group challenges coming up and no team wants to be slowed down at all.
"So basically me, Izzy and Hannah have discussed writing Tom out just because, like, he's an easy threat.","So basically me, Izzy and Hannah have discussed writing Tom out just because, like, he's an easy threat."
Yeah.,Yeah.
Both AI and Tom on the same page.,Both AI and Tom on the same page.
You're thinking of Hannah as well.,You're thinking of Hannah as well.
A Hannah because of the challenges.,A Hannah because of the challenges.
That's a surprise to me cuz she's part of my original alliance.,That's a surprise to me cuz she's part of my original alliance.
I'm not very happy with this new development.,I'm not very happy with this new development.
"Isabella, of course he didn't like how she just gave way up.","Isabella, of course he didn't like how she just gave way up."
He didn't like how.,He didn't like how.
What she gave way up.,What she gave way up.
She didn't say.,She didn't say.
I think Tom's feeling the pressure and maybe in desperation is trying to point the finger at somebody else.,I think Tom's feeling the pressure and maybe in desperation is trying to point the finger at somebody else.
"He's thinking, you know, she's already thinking past now.","He's thinking, you know, she's already thinking past now."
I think that we should stick to the plan because Tom's an absolute threat.,I think that we should stick to the plan because Tom's an absolute threat.
But ultimately my most solid alliance would be Osana.,But ultimately my most solid alliance would be Osana.
That's kind of what I'm going with right now.,That's kind of what I'm going with right now.
So.,So.
"So Hannah or Izzy or Hannah, what do you think?","So Hannah or Izzy or Hannah, what do you think?"
I'm just waiting for an A cuz I don't know where the numbers are.,I'm just waiting for an A cuz I don't know where the numbers are.
I think we should lock one in so we don't keep talking about it so we can get work done.,I think we should lock one in so we don't keep talking about it so we can get work done.
"I don't know if you guys realize, but Hannah's been doing a lot more work than Izzy.","I don't know if you guys realize, but Hannah's been doing a lot more work than Izzy."
"Yeah, I think she's.","Yeah, I think she's."
She's probably like proving herself.,She's probably like proving herself.
"Hey, like that's the point of it.","Hey, like that's the point of it."
Yeah.,Yeah.
"So Tom, either ones, Hannah out or Izzy out, which makes me a horrible person.","So Tom, either ones, Hannah out or Izzy out, which makes me a horrible person."
I want to be the good person.,I want to be the good person.
It does the decent thing.,It does the decent thing.
And then I want to be a Survivor.,And then I want to be a Survivor.
So you almost can't play the two at the same time.,So you almost can't play the two at the same time.
"Just let me know, eh?","Just let me know, eh?"
Let me know.,Let me know.
"Hey, guys, before we start dragging somewhere, can we pick the somewhere?","Hey, guys, before we start dragging somewhere, can we pick the somewhere?"
So where's home?,So where's home?
Closer to the beach.,Closer to the beach.
Don't want to be too far in here.,Don't want to be too far in here.
"As I say, you've got to pick a side and then we just get a.","As I say, you've got to pick a side and then we just get a."
So we reckon just over here.,So we reckon just over here.
So it's quite like just behind our flag.,So it's quite like just behind our flag.
We go there?,We go there?
Yep.,Yep.
Okay.,Okay.
Just where?,Just where?
Okay.,Okay.
So that goes there.,So that goes there.
Yeah.,Yeah.
My preparation for Survivor didn't start the day that I found out I was going to be on Survivor.,My preparation for Survivor didn't start the day that I found out I was going to be on Survivor.
It started the day that I found out Survivor was coming to New Zealand.,It started the day that I found out Survivor was coming to New Zealand.
"So I got to the point where I could run, I could swim.","So I got to the point where I could run, I could swim."
I was juggling.,I was juggling.
I was standing on one foot.,I was standing on one foot.
I have held my arm up in the air for as long as I possibly can.,I have held my arm up in the air for as long as I possibly can.
And I started meditating and thinking about how I was going to act nice and how I was going to convince people that I was a pleasant person.,And I started meditating and thinking about how I was going to act nice and how I was going to convince people that I was a pleasant person.
Have either of you thought at all that maybe it wasn't the best idea for three of us to go off and leave five behind?,Have either of you thought at all that maybe it wasn't the best idea for three of us to go off and leave five behind?
Risky?,Risky?
No.,No.
"I think if we're worried about that, then it's us three and try and get two more in.","I think if we're worried about that, then it's us three and try and get two more in."
That's gonna.,That's going to.
"Oh, I think Barb.","Oh, I think Barb."
"Barb surely would want to come with the girls, but who knows?","Barb surely would want to come with the girls, but who knows?"
But do we want a whole girl alone?,But do we want a whole girl alone?
No.,No.
Because the boys will never flip.,Because the boys will never flip.
They'll just try grab one of us.,They'll just try grab one of us.
So what do you reckon?,So what do you reckon?
I do want to rush into an alliance straight away.,I do want to rush into an alliance straight away.
"As soon as I got to camp I was looking around at my tribe thinking alright, come on, who can I trust?","As soon as I got to camp I was looking around at my tribe thinking alright, come on, who can I trust?"
Dee has spoken to Shannon and I but I'm a little bit wary of her at this point so I'm not sure how I am feeling about D.,Dee has spoken to Shannon and I but I'm a little bit wary of her at this point so I'm not sure how I am feeling about D.
"You, the sex appeal.","You, the sex appeal."
You two need to get in a couple of those.,You two need to get in a couple of those.
"Well, we can try.","Well, we can try."
I don't know how well that's going to work for me.,I don't know how well that's going to work for me.
I'm just not too sure about D.,I'm just not too sure about D.
I trust Georgia.,I trust Georgia.
I'm not sure how much I can trust D at this point.,I'm not sure how much I can trust D at this point.
We'll talk to you later.,We'll talk to you later.
