Sentence,Translation,English Translation,Error,Explanation 
I think it's perfectly an apt name.,Penso sia perfettamente un nome adatto.,I think that's a perfect name.,3,
"Michael, what are you making new tribemates?","Michael, cosa stai facendo dei nuovi compagni di tribù?","Michael, what are you doing with the new tribal classmates?",1,1) asking why making 2) asking what doing with
"Yeah, I'm really happy what I got.","Si', sono davvero felice di quello che ho.","Yeah, I'm really happy with what I have.",3,
It looks like we've got a pretty competitive team.,Sembra che abbiamo una squadra piuttosto competitiva.,Looks like we have a pretty competitive team.,3,
"So when I look around at the other tribes, as Matt's called them out, I see that Mike and Lee and Jack and Nathan, you know, the people who I had made a quick and easy bond with are on the other side, but I feel like I don't know these people.","Quindi quando mi guardo intorno alle altre tribu', come li ha chiamati Matt, vedo che Mike, Lee, Jack e Nathan, sapete, le persone con cui avevo stretto un legame facile e veloce sono dall'altra parte, ma mi sembra di non conoscere queste persone.","So when I look around the other tribes, like Matt called them, I see that Mike, Lee, Jack, and Nathan, you know, the people I had a fast and easy connection with are on the other side, but I feel like I don't know these people.",3,
"Soak up the atmosphere and enjoy being part of the team, guys, because by the end of the day, two of you will no longer be in these trib.","Immergetevi nell'atmosfera e divertitevi a far parte della squadra, ragazzi, perché entro la fine della giornata, due di voi non saranno più in questa trib.","Immerse yourself in the atmosphere and enjoy being part of the team, boys, because by the end of the day, two of you will no longer be in this tribune.",2,Tribe translated as tribune
That's right.,Esatto.,That's right.,3,
"One person from Mogaton, one from Hermosa will be voted out at the very first Tribal Council tonight.","Una persona di Mogaton, una di Hermosa, verra' votata stasera al primo Consiglio Tribale.","A person from Mogaton, one from Hermosa, will be voted on tonight at the first Tribal Council.",3,
Gone just like that.,Se n'e' andato cosi'.,That's how he left.,2,1) is a saying 2) is descriptive
"Georgia, you are looking very worried.","Georgia, sembri molto preoccupata.","Georgia, you seem very worried.",3,
Why so worried?,Perche' sei cosi' preoccupata?,Why are you so worried?,3,
That sucks.,Che schifo.,Gross.,1,1) says it sucks 2) says it's gross so different meanings
It's day one and already we've got to vote someone out.,E' il primo giorno e dobbiamo gia' respingere qualcuno.,"It's the first day, and we've already got to repel someone.",1,1) vote out 2) repel so different meanings
That's.,E' cosi'.,That's right.,1,2) 'right' word not present in 1)
That's so stink.,Che puzza.,That stinks.,3,
We're not even on the ground and bang.,Non siamo nemmeno a terra e bang.,We're not even on the ground and bang.,3,
Someone's going home.,Qualcuno sta tornando a casa.,Someone's coming home.,3,
"Ah, unfair.","Ah, ingiusto.","Ah, unfair.",3,
Someone has to go home and they haven't even been given a chance to put their best foot forward.,Qualcuno deve tornare a casa e non ha nemmeno avuto la possibilita' di mettere il piede in avanti.,"Someone has to go home, and they didn't even get a chance to step forward.",2,Mostly same but 1) figuratively best foot forward 2) literally stepping forward
You guys know you're here to play a game.,"Ragazzi, sapete che siete qui per fare un gioco.",You guys know you're here to play a game.,3,
It's a harsh game for day one.,E' un gioco duro per il primo giorno.,It's a tough game for the first day.,3,
It's a harsh game from day one.,E' una partita dura fin dal primo giorno.,It's a tough game since day one.,3,
I reckon you guys have got it pretty well worked out already.,Credo che abbiate gia' fatto un buon lavoro.,I think you've done a good job already.,1,1) Worked out how to do something 2) Finished a good job
"Alright, no mucking around getting into this competition either.","D'accordo, non si scherza nemmeno a partecipare a questa gara.","All right, you don't even mess around in this race.",1,1) About getting into competition 2) About performing in competition
We're kicking things off with a challenge right now.,Stiamo dando il via alle cose con una sfida in questo momento.,We're kicking things off with a challenge right now.,3,
Of course we are.,Certo che lo siamo.,Of course we are.,3,
George is feeling pretty good about that.,George si sente molto bene.,George's feeling very well.,2,2) Loses what's causing the feeling
I'm going to give you two minutes to clean everything off this boat you can.,Ti daro' due minuti per pulire tutto quello che puoi da questa barca.,I'll give you two minutes to clean up everything you can from this boat.,3,
Whatever you have on your tri mat at the finish is yours to keep.,Tutto quello che hai sul tuo triple alla finitura è tuo.,All you have on your triple finish is yours.,1,1) on your tribe mat 2) on your triple finish
"Come on, guys.","Andiamo, ragazzi.","Come on, guys.",3,
"The big prize, the large sack of rice and flint is locked in the chest in the middle of the boat.","Il grande premio, il grande sacco di riso e pietra focaia è chiuso nel petto nel mezzo della barca.","The big prize, the big sack of rice and flint is locked in the chest in the middle of the boat.",3,
"But before you get to that, you're going to have to find a key buried under one of these coloured rocks.","Ma prima di arrivare a questo, dovrai trovare una chiave sepolta sotto una di queste rocce colorate.","But before you get to this, you're gonna have to find a key buried under one of these colored rocks.",3,
I have made a fire before without flint.,Ho già fatto un fuoco senza pietra focaia.,I've already made a fire without flint.,3,
It takes a lot of time and a lot of perseverance.,Ci vuole molto tempo e molta perseveranza.,It takes a long time and a lot of perseverance.,3,
Survivors ready?,Sopravvissuti pronti?,Survivors ready?,3,
Your time starts now.,Il tuo tempo inizia ora.,Your time starts now.,3,
Go.,Vai.,Go.,3,
This challenge is on.,Questa sfida è in corso.,This challenge is in progress.,3,
Bit of strategy already at play here.,Un po' di strategia e' gia' in gioco.,A little strategy is already at stake.,3,
Both teams going for the key.,Entrambe le squadre cercano la chiave.,Both teams are looking for the key.,3,
Both teams going for the loop.,Entrambe le squadre vanno in loop.,Both teams are looping.,1,1) Going for the loop 2) looping
Tom is digging hard.,Tom sta scavando duro.,Tom is digging hard.,3,
No one's found the key.,Nessuno ha trovato la chiave.,No one found the key.,3,
Just how important is that rice and that flint?,Quanto e' importante quel riso e quella pietra focaia?,How important is that rice and that flint?,3,
Flint creates fire.,Flint crea il fuoco.,Flint creates fire.,3,
Fire boils water.,Il fuoco bolle l'acqua.,The fire boils the water.,3,
Bogaton getting some good loot already.,Bogaton ha gia' preso un bel bottino.,Bogaton's already taken a hell of a lot.,2,1) Good loot 2) Hell of a lot [of what?]
90 seconds remaining.,Mancano 90 secondi.,90 seconds to go.,3,
Both tribes working hard.,Entrambe le tribù lavorano sodo.,Both tribes work hard.,3,
No surprise.,Non mi sorprende.,I'm not surprised.,1,1) Says it's not surprising 2) Says he's not surprised
Barb's gone for the vegetables.,Barb e' andato a prendere le verdure.,Barb went to get the vegetables.,3,
Salah losing some gravy.,Salah ha perso un po' di salsa.,Salah lost some salsa.,2,1) Salsa 2) Gravy
Arby's working hard.,Arby sta lavorando sodo.,Arby's working hard.,3,
Looks like Bogatom got the front edge at this point.,Sembra che Bogatom abbia preso il bordo anteriore a questo punto.,Looks like Bogatom took the front edge at this point.,3,
Jack is working hard.,Jack sta lavorando sodo.,Jack's working hard.,3,
Tom's still digging.,Tom sta ancora scavando.,Tom is still digging.,3,
Michael's digging.,Michael sta scavando.,Michael's digging.,3,
30 seconds to go.,Mancano 30 secondi.,We're 30 seconds away.,3,
Dig it in.,Scavalo dentro.,Dig it in.,3,
You gotta start as you mean to go on.,Devi iniziare come vuoi.,You have to start whatever you want.,1,1) gibberish 2) Start whatever you want
"Isabelle, she has got this game down.","Isabelle, ha finito la partita.","Isabelle, he's finished the game.",3,
No one finds the key.,Nessuno trova la chiave.,No one finds the key.,3,
No one gets the rice or that flint.,Nessuno prende il riso o la pietra focaia.,No one gets rice or flint.,3,
"Gonna be a dry, hungry night.",Sara' una notte secca e affamata.,"It's gonna be a dry, hungry night.",3,
This is it right here.,E' proprio qui.,It's right here.,3,
Isabelle testing the rules early in this game.,Isabelle prova le regole all'inizio di questo gioco.,Isabelle tries the rules at the beginning of this game.,3,
"Keep working, guys.","Continuate a lavorare, ragazzi.","Keep working, guys.",3,
Now or never.,Ora o mai piu'.,It's now or never.,3,
"10, 9, 8, 7.","10, 9, 8, 7.","10, 9, 8, 7.",3,
"Come on, guys.","Andiamo, ragazzi.","Come on, guys.",3,
"5, 3, 2, 1.","5, 3, 2, 1.","5, 3, 2, 1.",3,
Stop.,Fermati.,Stop.,3,
Your time is over.,Il tuo tempo e' finito.,Your time's up.,3,
"Oh, they're doing that kind of thing.","Oh, stanno facendo quel genere di cose.","Oh, they're doing that kind of thing.",3,
Sure.,Certo.,Sure.,3,
"Oh, did somebody take my.","Oh, qualcuno ha preso il mio.","Oh, someone took mine.",1,1) Question 2) Statement
"Oh, great.","Oh, fantastico.","Oh, great.",3,
We're that tribe.,Siamo quella tribu'.,We're that tribe.,3,
Wasn't a nice feeling to see that the other team took most of our good stuff.,Non e' stata una bella sensazione vedere che l'altra squadra si e' presa la maggior parte delle nostre cose buone.,It wasn't a good feeling to see that the other team took most of our good stuff.,3,
We all got back to the mats and see that we had hardly anything there.,Siamo tornati tutti alle stuoie e abbiamo visto che non avevamo quasi niente lì.,We all went back to the mats and saw that we had almost nothing there.,3,
It was definitely a bit of a blow.,E' stato sicuramente un bel colpo.,It was definitely a good shot.,1,1) a blow meaning negative occurrence 2) good shot
They looked pretty smug.,Sembravano piuttosto compiaciuti.,They seemed pretty pleased.,2,1) smug 2) pleased
They were ripping us off.,Ci stavano derubando.,We were being robbed.,2,1) ripping off 2) robbed
"So I actually saw Isabelle come along and grab some stuff, and I thought maybe they've just got on the wrong map.","Quindi ho visto Isabelle arrivare e prendere delle cose, e ho pensato che forse sono sulla mappa sbagliata.","So I saw Isabelle come and pick up some stuff, and I thought maybe I'm on the wrong map.",2,1) they've got wrong map 2) I've got wrong map
I cannot believe that I didn't react.,Non posso credere di non aver reagito.,I can't believe I didn't react.,3,
Gutted.,Eviscerato.,Gutted.,3,
Stole out there.,E' stato rubato la' fuori.,It was stolen out there.,1,1) gibberish 2) It was stolen
Did they take them in that thing?,Li hanno presi in quel coso?,Did they get them in that thing?,3,
Yeah.,Si'.,Yeah.,3,
"I didn't see what she was doing, but it sounded like she.","Non ho visto cosa stava facendo, ma sembrava lei.","I didn't see what she was doing, but it looked like her.",1,1) sounded like 2) looked like
She stole quite a lot from the other men.,Ha rubato parecchio agli altri uomini.,He stole a lot from other men.,2,1) She 2) he
It.,Quello.,That.,3,
They got a good call.,Hanno avuto una buona idea.,They had a good idea.,1,1) good call 2) good idea
"Got all three nos, bro.","Ho tutti e tre i no, fratello.","I got all three nos, bro.",3,
I feel a little bit bad for the other sides because they had nothing.,Mi sento un po' male per gli altri lati perche' non avevano niente.,I feel a little bad about the other sides because they didn't have anything.,3,
Mogaton looking like the clear winners in this game.,Mogaton sembra il vincitore in questo gioco.,Mogaton seems the winner in this game.,3,
Yeah.,Si'.,Yeah.,3,
"Tony, what was the game plan?","Tony, qual era il piano?","Tony, what was the plan?",3,
"Everyone going helpful to get what they could get, Eh.","Tutti vanno d'aiuto per ottenere cio' che possono ottenere, Eh.","Everyone's helping to get what they can get, Eh.",1,1) gibberish 2) getting what can
I could not believe when I looked down how much gear there was on that map.,Non potevo credere quando ho guardato giù quanta marcia c'era su quella mappa.,I couldn't believe when I looked down how much gear there was on that map.,3,
"I looked over the other tribe and I go, oh, I know which tribe I'm glad to be in.","Ho guardato l'altra tribu' e ho detto, oh, so in quale tribu' sono felice di essere.","I looked at the other tribe, and I said, oh, I know which tribe I'm happy to be in.",3,
Yeah.,Si'.,Yeah.,3,
And Isabelle playing the game early.,E Isabelle sta giocando presto.,And Isabelle is playing early.,3,
"Well, it's.","Beh, lo e'.","Well, it is.",3,
It's a strategy.,E' una strategia.,It's a strategy.,3,
And this is a game.,E questo e' un gioco.,And this is a game.,3,
And I did what I could.,E ho fatto quello che potevo.,And I did what I could.,3,
I read between the lines.,Ho letto tra le righe.,I read between the lines.,3,
"I'm not a bitter person, but.","Non sono una persona amara, ma...","I'm not a bitter person, but...",3,
"No, actually, I'm a very bitter person.","No, in realta' sono una persona molto amara.","No, I'm actually a very bitter person.",3,
I'm not happy at all.,Non sono affatto felice.,I'm not happy at all.,3,
I'm pretty pissed off.,Sono piuttosto incazzato.,I'm pretty pissed off.,3,
Maybe we should give them a knife.,Forse dovremmo dargli un coltello.,Maybe we should give him a knife.,3,
I'll give them a knife at the end.,Gli daro' un coltello alla fine.,I'll give him a knife at the end.,3,
"Dee, is this how you wanted to start this game?","Dee, e' cosi' che volevi iniziare questa partita?","Dee, is this how you wanted to start this game?",,
We're here to play Survivor.,Siamo qui per giocare al sopravvissuto.,We're here to play the survivor.,,
I've got a pot.,Ho una pentola.,I have a pot.,,
I'm good at one point.,Sono bravo ad un certo punto.,I'm good at some point.,,
We'll get fire.,Avremo il fuoco.,We'll have fire.,,
You always end up with fire.,Finisci sempre col fuoco.,You always end up with fire.,,
I got a good team.,Ho una bella squadra.,I have a good team.,,
I got a squished melon.,Ho un melone schiacciato.,I've got a crushed melon.,,
I'm all right.,Sto bene.,I'm fine.,,
"All right, guys, grab your loot.","Ok, ragazzi, prendete il bottino.","Okay, guys, take the loot.",,
Set up camp for the first time.,Organizza il campo per la prima volta.,Set up the camp for the first time.,,
"Mogaton, you're going that way.","Mogaton, tu vai da quella parte.","Mogaton, you go that way.",,
Here's a map to your can.,Ecco una mappa del tuo barattolo.,Here's a map of your jar.,,
"Nice can, Luke.","Bella lattina, Luke.","Nice can, Luke.",,
There you go.,Ecco qua.,There you go.,,
"Mimosa, you're going that away.","Mimosa, stai andando via.","Mimosa, you're leaving.",,
Also want you to start thinking about tonight's first Tribal Council and who you'll be voting out of this tribe.,Voglio anche che inizi a pensare al primo Consiglio Tribale di stasera e a chi voterai fuori da questa tribu'.,I also want you to start thinking about tonight's first Tribal Council and who you're voting out of this tribe.,,
See you at tribal.,Ci vediamo alla Tribale.,I'll see you at Tribal.,,
Can I just say one thing?,Posso dire solo una cosa?,Can I just say one thing?,,
I just wanna.,Voglio solo...,I just...,,
I feel bad if you don't have A knife.,Mi dispiace se non hai un coltello.,I'm sorry you don't have a knife.,,
So I'll grab your knife.,Allora prendo il tuo coltello.,Then I'll take your knife.,,
"Go on, make.","Avanti, fai.","Come on, do it.",,
"No, no, no.","No, no, no.","No, no, no.",,
Grab that knife.,Prendi quel coltello.,Get that knife.,,
Check.,Scacco.,Check.,,
I didn't want to take it.,Non volevo prenderla.,I didn't want to take it.,,
