Sentence,POS_Tags,TF_IDF,Sentiment_Score,Custom_Embeddings,Sentence_Length
"One, two, three.","[('One,', 'CD'), ('two,', 'CD'), ('three.', 'CD')]",[0. 0. 0. ... 0. 0. 0.],0.0,"[-4.0154844e-03  1.4328555e-03  2.9525987e-03  3.4723245e-03
  4.6108142e-03  1.7212741e-03  4.7139917e-03  3.4602645e-03
  1.6894219e-03  1.0622740e-03 -3.4585434e-03  1.3369838e-03
  5.4719672e-03 -3.9748059e-04  1.7933140e-04 -1.3705219e-04
  1.2746338e-03  1.0915482e-03 -2.8740708e-04 -2.9133565e-03
  3.3009204e-03  2.5006032e-03 -1.7653945e-03  5.6492630e-04
 -2.1847012e-03 -8.2192570e-03 -1.3149745e-03  2.8659590e-05
  4.8218728e-03  6.8235520e-04  1.9920201e-03  1.7759738e-03
 -2.9887210e-03  1.4629870e-03 -5.0906590e-03 -4.3251212e-03
 -3.2997830e-04 -3.3664359e-03  1.1021105e-03 -6.5630334e-03
  5.2298401e-03 -2.6661658e-03  3.0425673e-03  7.4611306e-03
  6.1550289e-03  4.8139016e-03 -5.6575164e-03  1.1759271e-03
 -6.8404945e-04  4.8562963e-03 -2.3083228e-03  5.1735095e-03
  1.6012589e-03  6.5133669e-03 -1.9541003e-03  7.5413688e-04
  3.9235055e-03 -5.0127921e-03  1.4910745e-03  3.6064379e-03
 -2.7382467e-04 -3.9422396e-04  2.9266793e-03  1.4499947e-03
  2.4986437e-03 -2.7398989e-03  3.1441590e-04 -1.7774544e-03
 -8.0434447e-03 -1.9100439e-03 -5.7049473e-03 -1.0881935e-03
  3.3084929e-03  2.0065568e-03  3.2465381e-03  2.3435857e-03
 -2.9334768e-03 -2.5787696e-03 -1.1177544e-03  2.7401662e-03
 -4.2343847e-03  1.2356732e-03 -7.4148662e-03 -1.6329763e-03
 -1.6364310e-03  4.3870159e-03  5.4411530e-03  2.5549328e-03
  2.5488248e-03 -1.5111355e-03  4.0179915e-03  2.6547580e-03
  4.9207280e-03 -1.4614280e-03  5.5988249e-03 -3.0006904e-03
  3.2914057e-03  2.0155534e-03 -1.5147752e-03 -7.4126259e-03]",3
We'll go over here in the shade and we'll just get out of the sailing.,"[(""We'll"", 'PRP'), ('go', 'VB'), ('over', 'IN'), ('here', 'RB'), ('in', 'IN'), ('the', 'DT'), ('shade', 'NN'), ('and', 'CC'), (""we'll"", 'PRP'), ('just', 'RB'), ('get', 'VB'), ('out', 'IN'), ('of', 'IN'), ('the', 'DT'), ('sailing.', 'NN')]",[0. 0. 0. ... 0. 0. 0.],0.0,"[-0.01409522  0.02860013  0.00521012 -0.00127118  0.01561629 -0.04528703
  0.0187179   0.05625283 -0.02201312 -0.01950381 -0.00762127 -0.03589701
 -0.0062512   0.01338144  0.0127526  -0.02067805  0.00611313 -0.01672282
 -0.00577361 -0.04950683  0.01396197  0.01590887  0.01526524 -0.01485794
 -0.00059672  0.00379402 -0.01050403 -0.01028641 -0.03494665  0.00621622
  0.03726045  0.00019375 -0.00041443 -0.03025901 -0.01493976  0.02788761
  0.01730951 -0.01220222 -0.01509023 -0.03505819  0.00850523 -0.01907579
 -0.01315035  0.00339056  0.03228443 -0.0052996  -0.0172578  -0.0056447
  0.0168043   0.01388255  0.01370554 -0.01716434 -0.00066024 -0.00496784
 -0.0225064   0.01184465  0.00315951  0.00382464 -0.02591479  0.00562982
  0.00475785  0.00160943  0.01212458 -0.01120835 -0.02758412  0.0249299
  0.0146186   0.02646276 -0.03797091  0.03150076 -0.0204478   0.01979071
  0.02808281  0.00108448  0.0353531   0.01894111  0.00119112  0.00207568
 -0.02148007 -0.00123085 -0.01718867  0.00442681 -0.02327211  0.03351547
 -0.00717609 -0.00886108  0.01253879  0.02007171  0.02408988  0.00914295
  0.03765519  0.01575434  0.00562369  0.00230605  0.04457792  0.01928623
  0.02409104 -0.02549959 -0.00337011 -0.00562961]",15
We'll have a quick chat and we'll get into it.,"[(""We'll"", 'PRP'), ('have', 'VB'), ('a', 'DT'), ('quick', 'NN'), ('chat', 'NN'), ('and', 'CC'), (""we'll"", 'PRP'), ('get', 'VB'), ('into', 'IN'), ('it.', 'PRP')]",[0. 0. 0. ... 0. 0. 0.],0.0,"[-1.1621713e-02  2.5827687e-02  4.4018789e-03  1.0390123e-03
  1.2513196e-02 -3.6697213e-02  1.5439364e-02  4.6739914e-02
 -1.6965039e-02 -1.5572330e-02 -2.6582677e-03 -2.9666845e-02
 -3.8277693e-03  1.1770453e-02  1.0137284e-02 -1.6919445e-02
  6.9578290e-03 -1.6135739e-02 -3.5584508e-03 -3.5929997e-02
  1.2433391e-02  1.2080303e-02  1.4123236e-02 -8.8322097e-03
 -1.8764753e-03  6.2892484e-03 -1.1346278e-02 -7.2529586e-03
 -2.8645411e-02  5.8936928e-03  3.2219179e-02 -3.2159188e-03
 -1.7957227e-05 -2.5757562e-02 -1.2365767e-02  2.0599248e-02
  1.5024656e-02 -1.2062514e-02 -1.1624740e-02 -2.6870389e-02
  5.8837775e-03 -1.7562363e-02 -1.0362091e-02  3.6201335e-03
  2.8759774e-02 -6.4795734e-03 -1.2863492e-02 -4.3246942e-03
  9.9869817e-03  8.7316036e-03  1.2708342e-02 -1.1150185e-02
 -2.9909243e-03 -5.6479862e-03 -1.9403158e-02  9.8567810e-03
  2.4618173e-03  4.2906664e-03 -1.8838434e-02  5.6072427e-03
  4.7515747e-03  2.8702416e-03  7.4283592e-03 -4.9731485e-03
 -1.8706841e-02  1.5556345e-02  1.2008137e-02  1.9443268e-02
 -2.6980177e-02  2.3573335e-02 -1.6560553e-02  1.7482527e-02
  2.1224538e-02  8.1051956e-05  2.8343052e-02  1.0512081e-02
 -3.6366184e-03  2.4174775e-03 -1.3902168e-02 -3.0557546e-03
 -1.5361130e-02  5.4163433e-04 -1.6850064e-02  2.7227860e-02
 -6.4287647e-03 -6.6416292e-03  1.3656398e-02  1.8100034e-02
  1.6467836e-02  4.6757124e-03  3.0817548e-02  1.3235589e-02
  6.8134270e-03  3.2903105e-03  3.6331415e-02  1.5752185e-02
  1.8694999e-02 -1.6550068e-02 -1.8256146e-03 -4.3090871e-03]",10
You leave all your gear here.,"[('You', 'PRP'), ('leave', 'VB'), ('all', 'DT'), ('your', 'PRP$'), ('gear', 'NN'), ('here.', 'RB')]",[0. 0. 0. ... 0. 0. 0.],-0.0516,"[-0.00591694  0.01068125  0.0031512  -0.00087018  0.00684473 -0.02738103
  0.00847446  0.03279045 -0.00501109 -0.00962103 -0.00134215 -0.01982892
 -0.00386696  0.00692067  0.00461355 -0.01025725  0.00171489 -0.00967731
  0.00267495 -0.02936627  0.00928362  0.00522153  0.00525044 -0.01218272
 -0.00308421 -0.00016011 -0.00691405 -0.00527944 -0.02161095 -0.00036907
  0.02200594  0.0026052   0.00465726 -0.01857793 -0.00699343  0.00934334
  0.00750798 -0.00859799 -0.00807254 -0.0144182   0.00198114 -0.01382971
 -0.00988263 -0.00090178  0.01632207 -0.0051986  -0.0105317  -0.00086149
  0.00916935  0.01224565  0.00782587 -0.00802314 -0.00312592  0.00109579
 -0.01226014  0.010193    0.00587861  0.00031701 -0.01586927  0.0059929
  0.00586797 -0.00044992  0.00914394 -0.00255355 -0.01419131  0.0127454
  0.00669848  0.01562082 -0.01637536  0.01481334 -0.00727636  0.00679328
  0.01857265 -0.00092219  0.0174493   0.00320423  0.00112629  0.00012162
 -0.01329274 -0.00090024 -0.01101216  0.00587711 -0.01275181  0.01838651
 -0.0055768  -0.0048044   0.0119362   0.01352078  0.01463671  0.00669062
  0.01912666  0.00787497  0.0024101   0.00421911  0.02792947  0.01493892
  0.01380675 -0.01425505 -0.00169145 -0.00106568]",6
"Okay, guys, just a suggestion.","[('Okay,', 'NNP'), ('guys,', 'NNS'), ('just', 'RB'), ('a', 'DT'), ('suggestion.', 'NN')]",[0. 0. 0. ... 0. 0. 0.],0.2263,"[-0.00513923  0.01754049  0.00792534 -0.00619334  0.00972646 -0.03309634
  0.01094756  0.03793914 -0.01409482 -0.01389563 -0.00384537 -0.02713354
 -0.00016383  0.00992854  0.00920747 -0.00993109  0.00521444 -0.01110364
 -0.00264174 -0.0319093   0.01148442  0.01139395  0.01087441 -0.00588308
 -0.00645643  0.00142898 -0.00637405 -0.00628219 -0.02308959  0.00316878
  0.02426926 -0.00037703 -0.00172981 -0.01885508 -0.00573724  0.01826301
  0.01540704 -0.01435111 -0.01601585 -0.02130355  0.00477205 -0.01209637
 -0.01308492 -0.0006231   0.02075445 -0.00447482 -0.01222635 -0.00524291
  0.01169912  0.01039574  0.00739569 -0.006385   -0.00745899 -0.00276748
 -0.01349766  0.01214535  0.00396499  0.00662796 -0.01430691  0.00698751
  0.00171139  0.00117352  0.00753032 -0.00688005 -0.02020491  0.0138106
  0.00675577  0.01388281 -0.02345339  0.01507189 -0.0109255   0.01418692
  0.01612387  0.00634996  0.02199487  0.01346613 -0.00184541 -0.00265754
 -0.01629707  0.00428271 -0.00936142  0.00443044 -0.01627734  0.02705713
 -0.00658481 -0.0039533   0.01145178  0.01650553  0.01898982  0.00744002
  0.02622802  0.01331392  0.00425239  0.00089151  0.03015696  0.01167323
  0.02103185 -0.0233019  -0.00287286 -0.00643236]",5
"I've got a bit of experience working in bush like this, how to set up a camp, toilet and all the rest of it.","[(""I've"", 'PRP'), ('got', 'VBD'), ('a', 'DT'), ('bit', 'NN'), ('of', 'IN'), ('experience', 'NN'), ('working', 'VBG'), ('in', 'IN'), ('bush', 'NN'), ('like', 'IN'), ('this,', 'DT'), ('how', 'WRB'), ('to', 'TO'), ('set', 'NN'), ('up', 'RB'), ('a', 'DT'), ('camp,', 'NN'), ('toilet', 'NN'), ('and', 'CC'), ('all', 'DT'), ('the', 'DT'), ('rest', 'NN'), ('of', 'IN'), ('it.', 'PRP')]",[0. 0. 0. ... 0. 0. 0.],0.3612,"[-1.34710697e-02  2.67436430e-02  5.98679110e-03 -2.78018764e-03
  1.42825386e-02 -4.65901792e-02  1.68016665e-02  5.49892448e-02
 -1.81912128e-02 -1.93784013e-02 -7.37547874e-03 -3.53642814e-02
 -7.49527663e-03  1.36020994e-02  1.11049600e-02 -1.62603725e-02
  7.17114517e-03 -1.85052231e-02 -4.54163505e-03 -4.61051799e-02
  1.34438248e-02  1.41347004e-02  1.65890045e-02 -1.46391997e-02
 -3.89606855e-03  3.85682657e-03 -1.04372865e-02 -1.09766535e-02
 -3.24185379e-02  4.26166365e-03  3.62721533e-02 -8.12780519e-04
 -1.90315954e-03 -2.92689595e-02 -1.32104903e-02  2.50990540e-02
  1.46157630e-02 -1.41646164e-02 -1.64833497e-02 -3.16048302e-02
  1.17993886e-02 -1.81632806e-02 -1.23542035e-02  1.65428501e-03
  2.99271643e-02 -3.74648906e-03 -1.61596127e-02 -7.26740388e-03
  1.60670299e-02  1.38030192e-02  1.26992101e-02 -1.61694530e-02
 -4.31712513e-04 -2.96741328e-03 -2.27052271e-02  1.29078440e-02
  6.35928893e-03  2.64879013e-03 -2.19313651e-02  4.92756115e-03
  6.87787263e-03  9.89666791e-04  1.13277538e-02 -1.09150140e-02
 -1.94701925e-02  2.04505119e-02  1.30343288e-02  2.36659776e-02
 -3.24382819e-02  2.90644839e-02 -1.86500363e-02  1.83136761e-02
  2.52128672e-02  1.01666118e-03  3.28731425e-02  1.50593780e-02
 -1.02933147e-03 -6.03581429e-06 -2.15801019e-02 -9.76190961e-04
 -1.83471907e-02  5.81153436e-03 -2.13564038e-02  3.18556949e-02
 -8.37136339e-03 -8.00927170e-03  1.35264182e-02  2.07525343e-02
  2.12212056e-02  7.09363027e-03  3.48634496e-02  1.48839317e-02
  4.53524617e-03  1.30167126e-03  4.26197387e-02  1.83204729e-02
  1.94618795e-02 -2.50827577e-02 -5.90036670e-03 -4.20104573e-03]",24
"But we're a team and I think if we play together, everybody's got input, a bit of a say on what goes on, eh?","[('But', 'CC'), (""we're"", 'PRP'), ('a', 'DT'), ('team', 'NN'), ('and', 'CC'), ('I', 'PRP'), ('think', 'NN'), ('if', 'IN'), ('we', 'PRP'), ('play', 'NN'), ('together,', 'RB'), (""everybody's"", 'NN'), ('got', 'VBD'), ('input,', 'NN'), ('a', 'DT'), ('bit', 'NN'), ('of', 'IN'), ('a', 'DT'), ('say', 'VB'), ('on', 'IN'), ('what', 'WP'), ('goes', 'VBZ'), ('on,', 'IN'), ('eh?', 'NN')]",[0. 0. 0. ... 0. 0. 0.],0.4767,"[-0.01111931  0.02658804  0.00610123 -0.00323928  0.01553462 -0.04261997
  0.01802046  0.05150601 -0.01724301 -0.01807178 -0.00640994 -0.03462951
 -0.00642152  0.01031148  0.00920652 -0.0154602   0.00647625 -0.01721493
 -0.00564169 -0.04363734  0.01213019  0.01546306  0.01514461 -0.01118141
 -0.00336274  0.00241973 -0.00976297 -0.01078658 -0.03225378  0.00277657
  0.03405216 -0.00065238 -0.00126529 -0.02713738 -0.01236034  0.02130114
  0.01709086 -0.01373675 -0.01276795 -0.03184965  0.00810749 -0.01617567
 -0.01227546  0.00043178  0.03034144 -0.00274695 -0.01539101 -0.00506478
  0.01637797  0.01311225  0.01209501 -0.0134757   0.00037487 -0.00462144
 -0.019968    0.01156337  0.00587978  0.00427602 -0.02138495  0.00783309
  0.00533491 -0.00108031  0.01099869 -0.01004851 -0.02052778  0.01688872
  0.00936126  0.02275849 -0.03043631  0.02483631 -0.01774163  0.01601234
  0.02424623  0.00032404  0.02974193  0.01343492 -0.00072915  0.00128213
 -0.02060858 -0.00150922 -0.01525651  0.00537833 -0.01865542  0.02787505
 -0.00574285 -0.00770317  0.01373889  0.02282122  0.01864514  0.0049829
  0.03208071  0.01451693  0.0063991   0.00305249  0.04082747  0.01570946
  0.01987933 -0.02340022 -0.00550495 -0.00531566]",24
Old coral Matuatoni.,"[('Old', 'NN'), ('coral', 'JJ'), ('Matuatoni.', 'NNP')]",[0. 0. 0. ... 0. 0. 0.],0.0,"[-4.5932992e-03 -2.7879360e-04 -4.0709903e-03 -6.7707836e-03
  1.2913273e-03  1.6496130e-03 -5.8255420e-04 -3.5775739e-03
  1.1888567e-03 -3.7096229e-03  8.8212974e-03  4.2759883e-03
 -2.2207953e-03 -2.8413264e-03 -1.4697826e-03 -2.6873776e-03
  1.0339156e-03 -2.4182126e-03 -1.8529006e-03 -1.2730084e-03
  2.3301877e-04 -4.1997693e-03 -6.3903295e-03 -3.8002611e-03
  4.1512768e-03  8.0706188e-03  3.4080429e-03  4.0196767e-04
 -3.1267337e-03 -2.8441127e-03  4.6077868e-04 -3.9025428e-04
 -2.4062705e-03  2.4034921e-03  1.2046843e-03  1.2298453e-03
  6.1709747e-05  3.3350978e-03  2.9397814e-03 -9.7238459e-05
 -2.7600739e-03  5.0455560e-03  1.2111787e-04  4.0529147e-03
  3.0131424e-03  5.6878491e-03 -4.3962789e-03  8.0174282e-03
 -2.6837802e-03 -4.3119700e-03  1.2499598e-03  8.1675942e-04
 -2.2938156e-03 -4.5465934e-03 -3.2748037e-03  1.4619407e-03
  5.9806481e-03  1.5988691e-03  1.1135483e-03  2.5959900e-03
  3.5775902e-03 -1.7512636e-04 -1.8067147e-03 -1.5618418e-03
 -2.0124926e-03  1.6876742e-03  3.9066710e-03  3.4012739e-04
 -1.2561358e-03  6.9046654e-03 -1.4405411e-04 -3.7707828e-04
  5.6266953e-04  3.7028866e-03  2.2409188e-03  2.2344498e-03
  3.1660756e-03 -2.3501609e-03  1.2920704e-05  2.9700901e-04
 -1.5054430e-03 -3.3323430e-03 -2.4648928e-04 -2.1520567e-03
  1.5694592e-03 -3.1313908e-03 -4.3556374e-03 -9.5892930e-04
 -3.3421468e-03  3.4524563e-03 -3.3775459e-03  4.2665601e-03
 -7.4379734e-04  4.6779290e-03  4.4464255e-03 -3.5421478e-03
  2.8084675e-03 -3.0227590e-03 -2.7282338e-03 -3.9985287e-03]",3
"Yeah, man, he's the man.","[('Yeah,', 'UH'), ('man,', 'NN'), (""he's"", 'PRP'), ('the', 'DT'), ('man.', 'NN')]",[0. 0. 0. ... 0. 0. 0.],0.296,"[-0.00560286  0.01809188  0.00708898 -0.00443341  0.01146467 -0.02452867
  0.0097434   0.02957248 -0.01506762 -0.00930714 -0.00313699 -0.02190208
 -0.00374382  0.00384533  0.00813534 -0.01274889  0.0064474  -0.01074007
 -0.00543536 -0.03045982  0.00696506  0.00829476  0.00599907 -0.00806077
  0.00039045 -0.00162294 -0.00359068 -0.00740884 -0.02763286  0.00433168
  0.02057265 -0.00037609 -0.00355211 -0.01500601 -0.0104024   0.01636414
  0.01076908 -0.00561362 -0.00693314 -0.02196904  0.00638704 -0.00996075
 -0.01158272  0.00345297  0.02038922 -0.0026624  -0.00592331 -0.00492596
  0.01115515  0.00753948  0.00984791 -0.016001   -0.00229115 -0.00559152
 -0.01572302  0.00541299  0.00423994  0.00273116 -0.01858246  0.000576
  0.002502    0.00339181  0.01166178 -0.01008804 -0.01487912  0.0164784
  0.0107788   0.01394419 -0.02351323  0.01895366 -0.01063107  0.01278931
  0.01505965  0.00042953  0.02126762  0.01341498  0.00271544  0.00241874
 -0.01410211 -0.00061855 -0.00782092 -0.00124781 -0.01503847  0.02474371
 -0.00435731 -0.00459122  0.00818758  0.01314152  0.01634714  0.00470969
  0.02354552  0.01357756  0.00768472 -0.00258678  0.03055085  0.00655524
  0.01416719 -0.01689078 -0.00285377 -0.00155911]",5
"He's got a lot of experience, man, a lot of knowledge, and he's not shy to share it.","[(""He's"", 'PRP'), ('got', 'VBD'), ('a', 'DT'), ('lot', 'NN'), ('of', 'IN'), ('experience,', 'NN'), ('man,', 'NN'), ('a', 'DT'), ('lot', 'NN'), ('of', 'IN'), ('knowledge,', 'NN'), ('and', 'CC'), (""he's"", 'PRP'), ('not', 'RB'), ('shy', 'NN'), ('to', 'TO'), ('share', 'NN'), ('it.', 'PRP')]",[0. 0. 0. ... 0. 0. 0.],-0.0382,"[-0.01449383  0.02516211  0.00567948 -0.00392806  0.01447646 -0.04332175
  0.01800213  0.05237381 -0.01673845 -0.01906292 -0.00969163 -0.03286657
 -0.0075893   0.00981108  0.00979954 -0.01788786  0.00579104 -0.01573399
 -0.00697179 -0.0449789   0.01189311  0.01461941  0.01712657 -0.01215946
 -0.00225347  0.00286861 -0.01051291 -0.01121862 -0.03402018  0.00632273
  0.03426396 -0.0002999  -0.00031398 -0.02644167 -0.01256904  0.02492036
  0.01670055 -0.01354652 -0.01453885 -0.0313721   0.00880979 -0.01574783
 -0.0132198   0.00164467  0.03021937 -0.00589248 -0.01804888 -0.00679696
  0.0171874   0.0111608   0.01435394 -0.01831453 -0.00093485 -0.00480154
 -0.0214124   0.01256754  0.00569997  0.00561418 -0.02282175  0.00707269
  0.00669411  0.00051676  0.01176224 -0.01101802 -0.01997558  0.01965792
  0.01261801  0.02487069 -0.03250904  0.02527845 -0.02058729  0.01710118
  0.02428385  0.0010298   0.02979179  0.01320855 -0.00138781  0.00148564
 -0.02061192 -0.00292525 -0.01648571  0.00513424 -0.02025915  0.0302752
 -0.00839736 -0.00901915  0.01475671  0.02285182  0.02042722  0.00420302
  0.0354774   0.01790548  0.00788535  0.00103885  0.04213458  0.01803591
  0.02093363 -0.02402927 -0.00377593 -0.00338084]",18
"Just remember, when you're working around in this environment, although it may look open every time you go to touch something, give it a bit of a kick or find yourself a stick and give it a bit of a shuffle, because there's always going to be something around and more so when it gets dark.","[('Just', 'RB'), ('remember,', 'NN'), ('when', 'WRB'), (""you're"", 'PRP'), ('working', 'VBG'), ('around', 'IN'), ('in', 'IN'), ('this', 'DT'), ('environment,', 'NN'), ('although', 'IN'), ('it', 'PRP'), ('may', 'MD'), ('look', 'NN'), ('open', 'JJ'), ('every', 'DT'), ('time', 'NN'), ('you', 'PRP'), ('go', 'VB'), ('to', 'TO'), ('touch', 'NN'), ('something,', 'NN'), ('give', 'VB'), ('it', 'PRP'), ('a', 'DT'), ('bit', 'NN'), ('of', 'IN'), ('a', 'DT'), ('kick', 'NN'), ('or', 'CC'), ('find', 'VB'), ('yourself', 'PRP'), ('a', 'DT'), ('stick', 'NN'), ('and', 'CC'), ('give', 'VB'), ('it', 'PRP'), ('a', 'DT'), ('bit', 'NN'), ('of', 'IN'), ('a', 'DT'), ('shuffle,', 'NN'), ('because', 'IN'), (""there's"", 'EX'), ('always', 'RB'), ('going', 'VBG'), ('to', 'TO'), ('be', 'VB'), ('something', 'NN'), ('around', 'IN'), ('and', 'CC'), ('more', 'RBR'), ('so', 'RB'), ('when', 'WRB'), ('it', 'PRP'), ('gets', 'VBZ'), ('dark.', 'NN')]",[0.         0.         0.         ... 0.14980009 0.         0.        ],0.0,"[-0.01170361  0.02463494  0.00366112 -0.00284052  0.01261693 -0.03997539
  0.01671672  0.0457089  -0.01460305 -0.01733938 -0.0067387  -0.03030656
 -0.00503191  0.01066594  0.01071444 -0.01397326  0.00625221 -0.01418862
 -0.00515047 -0.03777463  0.01336018  0.01383481  0.01484329 -0.0100967
 -0.0021842   0.00400233 -0.01021964 -0.00890278 -0.0289047   0.00433856
  0.03226615  0.00155547 -0.00059904 -0.02413298 -0.01190486  0.02219748
  0.01280182 -0.01118123 -0.01460261 -0.02754095  0.00873059 -0.01644051
 -0.01062611  0.00189217  0.02554686 -0.00412279 -0.01555772 -0.00657752
  0.01455711  0.01150777  0.01098399 -0.01420099 -0.00226602 -0.00397191
 -0.01847432  0.01144752  0.00494408  0.00364561 -0.01975383  0.00596481
  0.00567827  0.00020488  0.01113667 -0.00736727 -0.01894474  0.01837099
  0.0140786   0.02119604 -0.02915991  0.02364184 -0.01692565  0.01474088
  0.02128683  0.0004541   0.02979883  0.01407599 -0.00157023  0.00096427
 -0.01890844 -0.00122131 -0.01433887  0.00463183 -0.01636284  0.02769197
 -0.00712397 -0.00597711  0.0124842   0.02019849  0.01800877  0.00398178
  0.0297632   0.0137159   0.00569131  0.00230659  0.03610254  0.01553155
  0.0193892  -0.02131819 -0.00434423 -0.00366308]",56
I don't mind being a leader at all.,"[('I', 'PRP'), (""don't"", 'VBP'), ('mind', 'NN'), ('being', 'VBG'), ('a', 'DT'), ('leader', 'NN'), ('at', 'IN'), ('all.', 'DT')]",[0. 0. 0. ... 0. 0. 0.],0.0,"[-0.00983449  0.02181821  0.00623316  0.00065193  0.01168681 -0.03610994
  0.01827599  0.04517449 -0.01738971 -0.01590935 -0.00633394 -0.02884405
 -0.00329243  0.01048024  0.00565192 -0.01130139  0.00887074 -0.01589917
 -0.00641401 -0.03778245  0.01269697  0.01666232  0.01009641 -0.00818969
 -0.00181005  0.00116839 -0.01036885 -0.00557779 -0.0272442   0.00659333
  0.0306954   0.00269828 -0.0005063  -0.02138652 -0.01074983  0.02368983
  0.01087811 -0.0113581  -0.01385307 -0.02630291  0.00676219 -0.01046527
 -0.01097678  0.00346302  0.0234047  -0.00400583 -0.01352077 -0.00803275
  0.01462098  0.00977913  0.00982694 -0.01402981 -0.00314708 -0.00508289
 -0.01441459  0.00929971  0.00270471  0.00298617 -0.01843451  0.00443893
  0.00580412 -0.00352335  0.00531232 -0.01022488 -0.01745503  0.01630257
  0.01136091  0.01853199 -0.02880273  0.02031403 -0.01512316  0.01468829
  0.020145   -0.00121095  0.02631475  0.00950148  0.0030742   0.000741
 -0.01581056 -0.001127   -0.01428459  0.00735841 -0.01493337  0.02877874
 -0.00789472 -0.0049279   0.01026345  0.01626262  0.01900251  0.00290765
  0.02552911  0.01386771  0.00670592  0.00164642  0.03432271  0.00974721
  0.01658053 -0.01605987 -0.00241525 -0.00117844]",8
I do have a considerable amount of experience and I will use that in every way I can to benefit this tribe.,"[('I', 'PRP'), ('do', 'VB'), ('have', 'VB'), ('a', 'DT'), ('considerable', 'JJ'), ('amount', 'NN'), ('of', 'IN'), ('experience', 'NN'), ('and', 'CC'), ('I', 'PRP'), ('will', 'MD'), ('use', 'NN'), ('that', 'IN'), ('in', 'IN'), ('every', 'DT'), ('way', 'NN'), ('I', 'PRP'), ('can', 'MD'), ('to', 'TO'), ('benefit', 'NN'), ('this', 'DT'), ('tribe.', 'NN')]",[0. 0. 0. ... 0. 0. 0.],0.4588,"[-0.01497182  0.02791057  0.00778398 -0.00139475  0.01345243 -0.05022271
  0.01987259  0.05887811 -0.0186015  -0.02149569 -0.00673136 -0.03864777
 -0.00748069  0.01364205  0.00941347 -0.02070713  0.0094374  -0.02011412
 -0.00743236 -0.04969627  0.01656144  0.01834333  0.0176935  -0.01580518
 -0.00129593  0.00351287 -0.01399626 -0.007166   -0.03889291  0.00593832
  0.03817356 -0.000441    0.00020844 -0.03211267 -0.01521814  0.02605923
  0.01812999 -0.01573043 -0.0165252  -0.03704569  0.00905944 -0.01896692
 -0.01672698 -0.00025784  0.03147125 -0.00703829 -0.01983756 -0.00544492
  0.01998775  0.01683883  0.01247153 -0.0173351  -0.00107529 -0.00484264
 -0.02277087  0.01498742  0.0067765   0.00376074 -0.02410241  0.00782242
  0.00388734  0.00103448  0.01196283 -0.01139854 -0.02502085  0.02405819
  0.01427594  0.02789945 -0.03836241  0.03116482 -0.02278791  0.02146305
  0.02837691  0.00088956  0.03868984  0.01707232  0.0002287  -0.00059264
 -0.02314415 -0.00355028 -0.02029198  0.00657818 -0.02235504  0.03841219
 -0.01056159 -0.00808804  0.01534167  0.02307503  0.02082257  0.00760557
  0.03766977  0.01626882  0.00710775  0.00129509  0.04713754  0.01986198
  0.02117275 -0.02704334 -0.00586732 -0.00295231]",22
They send me as valuable as part of my plan anyway.,"[('They', 'PRP'), ('send', 'NN'), ('me', 'PRP'), ('as', 'IN'), ('valuable', 'JJ'), ('as', 'IN'), ('part', 'NN'), ('of', 'IN'), ('my', 'PRP$'), ('plan', 'NN'), ('anyway.', 'RB')]",[0. 0. 0. ... 0. 0. 0.],0.4767,"[-9.54568759e-03  1.62603222e-02  3.82935465e-03 -3.90498340e-03
  1.02208862e-02 -2.83802450e-02  1.13272183e-02  3.40822041e-02
 -1.47124054e-02 -1.24321878e-02 -4.79801698e-03 -2.70028654e-02
 -1.22869282e-03  8.78116395e-03  8.21175240e-03 -1.05857691e-02
  6.00895984e-03 -1.22408215e-02 -3.91755067e-03 -3.09986342e-02
  7.34169036e-03  8.20496399e-03  1.07065700e-02 -6.61301566e-03
 -9.81154386e-04  1.56646338e-03 -5.99831482e-03 -6.96009956e-03
 -2.36693807e-02  3.11196665e-03  2.25100648e-02  2.96920910e-03
  7.85029843e-04 -1.94862876e-02 -6.70138327e-03  1.65630896e-02
  1.20188734e-02 -8.39855149e-03 -1.14994943e-02 -1.87190343e-02
  5.48046874e-03 -1.18952459e-02 -7.38939457e-03  1.16418721e-03
  1.88400187e-02 -3.99701111e-03 -1.32830562e-02 -2.37900717e-03
  1.31508596e-02  7.85343442e-03  5.19247679e-03 -1.15537075e-02
 -2.00977037e-03 -1.80553168e-03 -1.23089198e-02  8.06546025e-03
  5.61854709e-03  3.89677659e-03 -1.40360408e-02  6.30059792e-03
  3.97867477e-03 -2.28577829e-03  7.81772938e-03 -6.50033401e-03
 -1.55129228e-02  1.35192517e-02  7.44997710e-03  1.39955766e-02
 -2.28633564e-02  1.63420141e-02 -9.58043430e-03  1.35714477e-02
  1.70405079e-02 -1.97713540e-04  2.37301569e-02  1.15162432e-02
 -3.10360017e-04  3.15108499e-03 -1.36290230e-02 -7.18423471e-05
 -1.23930639e-02  5.00721904e-03 -1.23159923e-02  1.86468698e-02
 -6.90644048e-03 -3.56325111e-03  8.88309721e-03  1.57556068e-02
  1.70301441e-02  5.21736033e-03  2.30138879e-02  1.04493406e-02
  4.58025513e-03  2.93565192e-03  2.95593329e-02  1.23045454e-02
  1.64842233e-02 -1.72817390e-02 -2.57338188e-03 -3.15299840e-03]",11
