original,french,back_to_english
I dream of being in a tribal council. I dream of being on the sand.,"je suis ai d ' un , , ' un , , ' un , ' un , ' un , ' un , ' un , ' un de ' un .","i was a a a a a a a , , a a a a a . ."
"I dream of being in the water. Like, this is incredible.","j ' ai ai une , , , et je ' , , , , , , , , , et je .","i have a , , and i i , and i , and i , and i , and i , ."
"Any of you more than happy to be labelled the villain,","je ' aurais voulu ' un , , , , , , , , , , , , ' , , ' ' .","i had a , , , , , , , , , , , , , ."
if it means winning this game?,"pourquoi ne ' ' ' pas pas , , de la ?","why did not , , the ?"
D?,"mme raquin ,","madame raquin , and"
D?,"mme raquin ,","madame raquin , and"
D?,"mme raquin ,","madame raquin , and"
D?,"mme raquin ,","madame raquin , and"
D?,"mme raquin ,","madame raquin , and"
I'm in.,je m ' ai dit .,i have to to .
I'm surprised by your answer.,"je suis votre mari , je ' ' ai ' de la ' .",i am i to you you .
"I think that, generally, I'm gonna be labelled the villain,","je me suis , , , je , je , je ' ai ' ai ' un , , ' un , ' un .","i am a , , and i i , i i a a ."
"just for the way that I look, so I might as well accept that.","a chaque jour , je ' ' ai , , , je ' ' ai ' ai , , je ' ' ai ' un .","for , i i i i , i i , i ."
"And if it means winning the game, why wouldn't you do whatever it takes?","et pourquoi n ' ' pas pas pas pas , , , , , , , , , ?","and why not not , , , , , , , , , and not a word ."
"Michael, do you think D's already looking like the villain?","que le ' , , , , , de la , de la , de la , de la ?","what , the the , the the , the the , the the of the"
You never know. Looks can be deceiving.,"tu n ' as pas besoin de ' , , , ' un de de .","you don not , , , , ."
Any of you guys think you've got game when it comes to the physical challenges?,"vous avez que que ' on est , , , , , , , , , , , ' , , ' ' .","you have that it is , , , , , , , , , , , ."
Nathan?,un jour de,a day night .
"Maybe a few years ago, but I'm an old man now.","un jour , il ' est que je ' ' ai ' un songe , je ' ' ai",one day i i have a fool .
Who thinks they can put food on the table?,"qui sait que ' ils ont fait la ' de la , , de la , ,","who knows who had the the the , , the the , the the , the the , and the the the"
"Tony, how you gonna do that?","tu es , , , ' , , , ' ' , ?","you are , , , , , you are ? ?"
"Well, there's a lot of stuff that creeps around out there in the bush.","eh bien ! il y a des choses qui les ' , ' un de ' , , ' un de ' , .","well , let us s the , the , , and a ."
I'm sure I can come up with something that's edible.,"je ' ai ' ai , , ' ' , , ' un , ' un , ' un .","i was a a , , and a a ."
The things they teach you as a soldier is attention to detail.,"ce sera est un de ' , , ' un de ces ébauches-là , et ' , , .","it is a a , , and a , , and a a ."
I'm also a former unit tracker.,"je suis un ' un de ' , , ' un de ' , , ' un de ' .","i am a a , , a a . ."
I can track a human through the bush.,"je suis un ' un de ' un de de , , de la ' .",i am a a of a a a . .
"I mean, this environment, yes, it's hot. It's horrible.","je suis , , , , , , , , , , , , ' un .","i am , , , , , , , , , , , ."
"Hey, guess what? There's a survivor.","—c ' est toi , c ' est toi qui nous ' ' .","it ' s you , you you are ."
"All right, let's get into it. First things first.","je sais bien que ' on m ' a de , ' un jour , ' un de ' ' .","i know a a a a , , a a . ."
"The teams, come forward and take your buff.","le ' , , et , , , , , , et de nous .","the , and and , and , and and and and ."
"Orange buffs, your mogaton.","votre tante , et , ' , , ' ' .","your aunt , and ."
Sala.,"mme raquin , ' ' .",madame raquin .
Woods!,"' a pas de ' ,",no doubt .
Anna.,"mme raquin , ' ' .",madame raquin .
I am a plus-size model.,je suis un ' un de ' ' un de ' un .,a a a a a a . .
I play roller derby.,je me suis de ' ' de la ' .,i am the . .
And I am a powerlifter.,"et elle est ' , je ' ' ai ' .",and i have .
Abi.,"mme raquin , ' ' .",madame raquin .
Isabel.,"mme raquin , ' ' .",madame raquin .
I'm here on Survivor because I can't resist a challenge.,"je suis ai , , ' ' , , je ne ' ai pas , .","i have , i i , i , i i ."
"I love proving people wrong,","je ' ai ' de , , , , ' ' , , ' ' .","i have , , , , ."
and I just love it when people get surprised,"et je ' ai ' ai ' un , ' ' , , ' ' , , ' ' .","and i , i have a . ."
"and they think I can't do something, and then I do it.","je ' ' ai qu ' ils ne ' ' pas pas , , je ne ' ai pas , je te ' , je ne ' ai pas .","i don ' t know , i , i i , i i not to to . ."
Tom.,les yeux .,the eyes .
"Gosh, my heart's racing.","mon ami , et ' , , , , , et je .","my friend , and i and i and and ."
Shaina.,"mme raquin , ' ' .",madame raquin .
Anthony.,a la ' .,.
Anthony.,a la ' .,.
"And last but probably not least, Louisa.","et , comme il ' ' , , , , , , , .","and as he , , he , , and ."
Thanks. Cheers.,le premier de la .,the the of the .
"Sala and Shaina, you're looking pretty stoked.","un jour , et , , , , , , , , et de .","one day , and , and and , and and laurent , and and the ."
How are you feeling about your new tribe?,"comment veux-tu faire ? ' un de de , de la ?",how do you think of the ? ?
"I've got my brother from another mother over here,","je suis ai mon mari , et je m ' as dans la boutique , je m ' en de .","i am the , and and i , and i i i have to to to the ."
which I'm really happy about.,"je me suis de ' ' , , ' ' , , ' ' .","i am , , i , to myself ."
"Shay, when she walked over and she said, you know,","quand elle se disait , , , , , , , , , , , , .","when she went to , she , , , , , , she she to herself ."
"brother from another mother,","un jour de et , ' elle , ' , , et je .","one day , and , and and and laurent ."
that saying worried me,ce serait m ' avoir dit que le ' de la .,this idea that she would have to to the . .
because it felt like a strategic back-line alliance.,il ' est une ' ' ' ' un de ' un de ' un de ' un de de .,it is a a a a a a . .
"Your mogaton tribe,","sa tante , et je ne ' ' pas .","and i , and i ."
named after Ngaragua's highest mountain.,"la ' , la nuit , et ils se ' dans la chambre .","the night , and , and the the ."
"It'll be interesting to see if you can live up to your mighty name,","il est bien que tu es ' as tu es un , tu es ' as tu es un .","you must be a a , , you are a , you are a . ."
which means purple buffs for you other guys.,"ce serait ' ' est pas ' un de ' ' un de de , ' un de ' .",it is a a a a a . .
Barb.,"mme raquin , ' ' .",madame raquin .
Yes! I look good in blue.,"je , je suis ' ai ' un , ' un .",i am a a . .
"That's purple, isn't it, Barb?","c ' est toi qui ne ' pas pas , , , , , , , , , .","it ' s not to , , she said to himself , as if as to ."
"No, but it's a cool colour.","non , mais il ' est ' ' un de ' un de ' , ,","no , he was a , and a a a man ."
OK. Georgia.,"mme raquin , qui , ' la main .","madame raquin , who the the , and the ."
"I don't know why I had this feeling,","je ne sais comment j ' ai souffert , ' ' , , , ' ' , , ' ' .","i know that i was not , i i , i , i ."
but I didn't want to be in that first team.,"je ne ' ai pas , ' ' , , ' ' , , ' ' ' , , ' ' .","i have no longer , , i , ."
I was actually stoked.,"j ' aurais voulu l ' avoir , , ' ' .",i had to to to to him .
"When I looked around, saw the members,","quand je ' ' , , , , , , , , , , et de la ' .","when i saw , , , , , , , and ."
I was super happy.,"je m ' avait prise d ' une façon , , ' ' .",i had a a to .
Made it.,c ' est que ' ' .,it is s .
Nathan.,"mme raquin , ' ' .",madame raquin .
"and even that ride-in on the truck,","et que le ' de la , , de la , , de la ' .","and the the , the the , the the ."
you tend to make a bit of a quick connection.,"tu es un de ' , , ' un de de ' un de ses ' .",you know a a a a a a a . .
Most of the people that I had formed some kind of connection with,"je ' avais été , ' ' , , ' ' , , ' , , ' ' , , ' ' ' ' ' .","i had been , , , , , ."
"were on the other side, so I was pretty gutted.","pendant que la nuit , ' , , , , , , , , , , et je ' ' , et je ' ' , et je ' ' .","and , i i i , and and i , and , and , and i , and i , and ."
Jack.,mme bonacieux chevreuse .,madame raquin had to to her .
"Cheers, brother. Good, mate.","mon cher , , , , ' il y a des rentes .",", , , , , , ."
Shannon.,l ' autre .,.
Lee.,"mme raquin , qui , ' .","madame raquin , who was to ."
Cheers.,"mon esprit , et ' ' .",my mind .
Michael.,"' un , , ' un .",a moment .
"Cheers, mate.","in the world ,","but camille , a atrocious comedy ,"
"And, of course, Dee.","et , ' ailleurs , elle se disait qu ' elle allait se faire .","and she she to herself , she would have to to to her ."
Thank you very much. You're welcome.,"tu es , , tu es ' as ' as pas .","you are , , he said to himself ."
Mmm!,"un jour ,",a day night .
"Yeah, guys!","des larmes , et , , , , et de ' .","this flabby and and , and and and and ."
"Purple tribe, Yohamosa,","mais , , , , ' un , , et de ' .","but , , , and , and a ."
named after the bay right here,"c ' est bien que ' ' un jour , nous nous , , et nous .","it was be , , we , and we , and we ."
and also Spanish for beautiful.,"et , ' , , ' ' de la .","and , ."
Oh! Barb.,et la peau de la .,and the the of of the .
"A tribe name perfectly suited to you, I think.","un mois de , , , ' ai , , , , je ' ' ai ' , , ' .","a moment , i i , i , i i , ."
I think it's perfectly an apt name.,"je ' ai ' , , ' ' , , , ' un de ' , , ' un .","i was a , , and a a a ."
"Michael, what are you making?","quoi bon , tu , tu , tu ' as ?",what you you you you ? you you ?
Are you new tribe mates?,"mon mari , vous , ' ?","what you deuce , you ?"
"Yeah, I'm really happy with what I got.","tout , je , je ' ai ' ai , , je ' ' ai ' ai , , je me ' ' ai","however , i i i , i i i , i i ."
It looks like we've got a pretty competitive team.,"c ' est une ' ' un de ' , , ' un de ' un de ' un de ' .",a a a a a a a a a . .
"So when I look around at the other tribes,","quand je ' étais , , , , , , , , , , , et je ne ' pas .","but i i , , , , , , , , , i i , ."
"as Matt's called them out,","et les deux , de l ' autre ,","and the two murderers , the the the"
"I see that Mike and Lee and Jack and Nathan,","je me suis , et , et , et , , , , , et de .","i looked and and and and and and , and and and and ."
"you know, the people who I had made a quick and easy bond with,","tu sais , , , , , , , , , , , , , , , , , .","you , , , , , , , , , , , , , , , , , ."
"are on the other side,","et , ' , , ' ' , , ' ' .","and , , she ."
and I feel like I don't know these people.,"et je sais que ' ils n ' ont pas , , ' un coup… ,","i don ' t know , and , and i ,"
Soak up the atmosphere,"entre l ' eau , l ' air de ' un .","from the water , the the ."
"and enjoy being part of the team, guys,","et c ' est qu ' elle ne pouvait plus de ' un de de , , et de ' , , et de ' .","it was not a thing to be , , and , and , and and ."
"because by the end of the day,","et que la veille , la , , ' ' , , , ' ' .","and the the , , the , , and the ."
two of you will no longer be in these tribes.,"deux mille francs , ' ' , , ' , , , , ' ' , .","but , , , , , , , , ."
That's right.,c ' est bien que ' il y a .,it is s .
"One person from Mogaton, one from Yohamosa,","un jour , , , , , , , et de ' .","one day , , and , , and and laurent ."
Gone.,les enfants .,the the .
Just like that.,et que ' ' ' ai ' un .,and i .
Why so worried?,et pourquoi serait-elledifférente ?,and why not ?
"That sucks! It's day one,","c ' est bien que ' il y a une chose , ' un coup… de ' .",it is a a a a a . .
and already we've got to vote someone out.,"et nous nous ' avons plus de nous , nous , nous , nous .","and we we , we , we , we , we , and we ."
That's so stink.,c ' est la ' de la .,it ' s the . .
"We're not even on the ground,","nous ne pouvons pas la de de la , ,","we don ' t know the the , the the , , the the of the ."
"and bang, someone's going home.","et , après avoir fait , la , , ' un , de ' .","and , , , , , and a a ."
"Ah, unfair.","et m . de , , , ' il y a des rentes .","and , , , , , ."
"Someone has to go home,","mais il faut que nous ' , , ' il nous ' .",but we must go to bed .
and they haven't even been given a chance,"et ils ne ' pas pas pas , ' ils ne ' pas pas pas de .",and they did not even seek to to .
to put their best foot forward.,"les deux , , ' ils se ' , ils se roidissaient .","the other , , they , they they were to ."
You guys know you're here to play a game?,"tu sais pourquoi tu as ' as , , , ' un de de , , de la ' .","you know that i was a , , and , and a . ."
It's a harsh game for day one.,"c ' est une ' un jour de la , , ' ' , .","it is a a of , , and the ."
It's a harsh game from day one.,c ' est une ' ' un de ' ' un de ' ' un de ' .,a a of a a . .
I reckon you guys have got it pretty well worked out already.,"je ' ai ' ai , , , ' ai , , ' un de ' , , ' un .","i have a , , and i , a a ."
We're not getting into this competition either.,"nous ne pouvons pas la , de la ' ,","we don ' t know the , , the the , , and the the the ."
We're kicking things off with a challenge right now.,"nous sommes un ' un , , , , , , .","a moment , , , , , , a a ."
Of course we are.,"nous sommes , , , nous nous .","we are , , we are . ."
Georgia's feeling pretty good about that.,"la vérité de la , , ' , , ' ' , .","the truth , she was , , , and the ."
I'm going to give you two minutes,"je ' ai ' ' ai , , , ' ' , .","i have , , , i i ."
to clean everything off this boat you can.,"a chaque , , ' un , , , , , , ' un de de .","and , , , , , , a a a a . ."
Whatever you have on your tribe mat at the finish,"que vous ' votre mari , tu m ' as , de .","you you are your your , , you you ."
is yours to keep.,c ' est toi qui m ' as .,it is s .
"Come on, guys.","elle , ' , , ' un .",she was . .
It's knives.,c ' est bien qu ' elle ne ' pas .,that is not to to .
The large sack of rice and flint is locked in the chest in the middle of the boat.,"la ' de de la ' , , la , , , , , , , , , , de la ' de la .","the the of the , , the the , the the , the the , the the ."
"But, before you get to that, you're going to have to find a key buried under one of these coloured rocks.","mais , vous vous , tu es ' as , , , , , , , , , , , , , , de la .","but you you , you are , , , , you , you , you , you are , , you are ."
I have made a fire before without flint. It takes a lot of time and a lot of perseverance.,"j ' ai une une sorte , ' ' , , ' ' , , ' un , ' un , ' un , ' ' .","a a a a , , , and a a a moment ."
Survivors ready? Your time starts now. Go!,"mais votre tante est la , , ' , nous nous , ,","but you are the , , , , , , , and , , and , , and we , to the ."
This challenge is on!,"ce qui est ' ,",what is s
"A bit of strategy already at play here. Both teams going for the key, both teams going for the loot.","un mois de deux mois auparavant , il ' ' ' , , , , , , , , , , , , , ' ils se roidissaient .","a moment of two months , , , , , and , , and , , , and they , to be ."
Tom is digging hard. No one's found the key. Just how important is that rice and that flint?,"dieu , ' ' est pas ' un , , , , , , , , , , , , , , , , , .",", , , , , , , , , , , , , , , , , , a a ."
Flint creates fire. Fire boils water.,"des fraîcheurs de la , , , , , , , , , , , , , , , , , , , et de .","the the of of the , , , , , , , and , , , , and the , , and the ."
Mogga and Tom are getting some good loot already. 90 seconds remaining.,"on se et ils , ' ils , ' ils , ' ils , ' ils , et ils , ' .","they were they they they , and they they and they ."
"Both tribes working hard. No surprise, Barb's going for the vegetables.","ces deux meurtriers ne se ' pas , , ' , , ' ils ne se ' pas , , ' ils ne se ' pas , la moindre tête-à-tête .","these two murderers , they , they , they , they , , they , to the , , and they , to the , , and they , to the ."
Zala losing some gravy. Arby's working hard.,"un jour , , ' , , , ' elle , ' ' ' ' ' ' .","one day , she was to ."
Looks like Mogga and Tom have got the front edge at this point.,"et , ' , , , , , , , , , , , de la .","and , , , , , , , , , , , and ."
Jack is working hard. Tom's still digging.,"on dirait que les meurtriers sont ont , , , , , , .","they are have to the , , , and the , the , , the the , , the the , , the the , , the the , , the , , the , , the , , the , , , , , , , , ,"
Michael's digging. 30 seconds to go. Dig it in!,"la voix de ' un , , , , , , , , , , ,","the voice of this , , , , , , , , , and"
You've got to start as you mean to go on.,"tu as raison , ' hui , tu es ' , , .","you are right , you are , you are ."
"Isabel, she has got this game down. No one finds the key, no one gets the rice or that flint.","ils ne ' ' pas pas , , , , ne pas pas la paralytique , ils , ' , , , , , , , .","they did not , , they , not , , , , , and , , and , and not to to the ."
"It's going to be a dry, hungry night.","c ' est une ' un , ' un , ' un , ' un , ' un , ' un .","a a , a a , , a a a a . ."
"This is it, right here. Isabel testing the rules early in this game.","c ' est vrai , , ' est la , , ' un , de , , , ' un .","it is true , , , , , , , a a a ."
"10, 9, 8, 7, 6, 5, 4, 3, 2, 1. Stop! Your time is over.","cinq , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"
"Oh, they're doing it again.","oh ! je ' ai ' , , , , , .","i , , , , , i , ."
"Did somebody take that? Oh, great, we're that tribe.","mais , a nous , , , , , , , , , , , nous sommes ,","but , , we are , , , , , , , , , we are not to to"
It wasn't a nice feeling to see that the other team took most of our good stuff.,"ce n ' était pas un de de , , de la , , de la , de la , de la , de la .","it was not the the , , the the , the the , the the , the the of the ."
We all got back to the mats and to see that we had hardly anything there.,"nous étions tous ensemble , et , ' , , , , , ' il nous , , et nous nous .","we were to and , and and , and we , and we , and and and and ."
There was definitely a bit of a blow. They looked pretty smug.,"il y avait une une sorte de , , , , , , , , , , , , , et de ' .","there was a a of , , , and a , , , , , , and a , and a ."
You got it! Yeah!,"tu es ' es , , , ' ' !","you are right , he exclaimed ."
They were ripping us off.,"ils nous ' ' , et nous .",they were to and fro .
I actually saw Isabel come along and grab some stuff.,"je ' ' ils , , , , , , , , , , , et les pétillements .","i , , and , , , , , , , and , and the ."
And I thought maybe they'd just got it on the wrong mat.,"et je m ' a dit que ' ' ' ' , , de la , de la ' .","and i said , , and i to the the ."
I cannot believe that I didn't react.,"je ne sais pas ' ai pas , , ' ' , je ne ' ai pas , .","i don not know , i , i i not to to . ."
They stole our back thing.,"ils nous ' ' , de la ' .",i have to the . .
"I didn't see what she was doing, but it sounded like she stole quite a lot from the other mat.","je ne sais pas , elle , ' elle , ' elle , ' elle , ' ' , , ' elle , ' ' , , .","she would not have , she she she , she she she she would have liked to ."
I feel a little bit bad for the other swans because they had nothing.,"je ' ' ai qu ' un moyen de ' ' , , , ' ' , , , ' ' , , ' ' , , .","i have a a , , , , , , , ."
"Ogaton, looking like the clear winners in this game.","thérèse , , , , , , , , , , , , , et de ' .","listen , , , , , , , , , , , , , , , , and ."
Yeah.,"mme raquin , ' ' .",madame raquin .
"Tony, what was the game plan?","mme raquin , qu ' elle ne pouvait se faire , à la ' , de la ' , de la ' , de la ' , de la .","madame raquin , she to the the , she she to the the , the the , and the ."
"Everyone going hell for leather to get what they could get, eh?","tout de suite , ' , , , , , , , , , , , , , de la , de la .","now , , , , , , , , , , , , , , , she had to the the ."
I could not believe when I looked down how much gear there was on that mat.,"je ne puis pas ' ' avais pas , , , ' ' , , ' ' , , ' ' ' ' .","i don not t , , , i , not to . ."
"I looked over the other tribe and I was going, oh, I know which tribe I'm going to be in.","je suis ai , je suis , , je ' ai , je me suis , , je ' ' ai , je ne ' ai pas , je te ' ai ' ai","i have , i i , i i , i i , i , i i , i i , i i , i i , i i , i i to the . ."
And Isabel?,et ?,and what ?
Playing the game early!,"que le monde , ' ' , , ' ' , , ' ' , , ' un de la .","what , , , , , , , ."
"Well, it's a strategy and this is a game and I did what I could.","et c ' est que je ' ai , je , je , je , je , je , je ' ' ai ' , , je ' ' ai ' un coup… .","and i i i , i i , i i , i i , i , i i , i , i , to the . ."
I read between the lines.,"je ' ai ' de la ' , de la ' .",i am the . .
"I'm not a bitter person, but no, actually I'm a very bitter person.","je n ' ai pas un sou , mais je ne ' ai pas , , ' il y a des choses .","i have not a , , i i not , , i am not ."
I'm not happy at all. I'm pretty pissed off.,"je ne suis pas , , je ne ' ai pas , , ' ai , je me ' .","i don not , i i , i i not to to . ."
Maybe we should give them a knife. I'll give them a knife at the end.,"un peu de , je ' ai ' ai ' un , ' un , ' un , ' un , ' un , ' un .","a a , , a a , , a a a . ."
"Dee, is this how you wanted to start this game?","votre existence , qui est ' , , , , , , , ' ' , , tu as assassiné… .","your mind , , , , , , , , , , and , and ."
We're here to play survivor. I've got a pot. I'm good.,"je suis un ' un , je m ' en , , je m ' en , , je m ' en , , je ' ' ai ' .","i have a a , i i , i i , i i , i i ."
At one point we'll get fire. You always end up with fire.,"a un ' de , , , , , , , , , , ' un de la .","in , , , , , , , , a a . ."
I've got a good team. I've got a squished melon. I'm all right.,"j ' ai eu un ans , je ' ai ' ai ' ai , , je ' ai ' ai ' un , ' un .","i have a a , i i , i i i a a . ."
"All right, guys. Grab your loot. Set up camp for the first time.","cependant , , , , , , , , , , , , , , , de la ' , de la .","but , , , , , , , , , , , , , , , , , , , , , ."
"Ogaton, you're going that way.","vous , , tu es ' as pas , , ' un .","you , , , he , you are ."
Here's a map to your camp.,"c ' est une ' de de , , ' un de de , et de ' .","it was a a of , and a a of a ."
That's camp loot.,c ' est la ' de la ' .,it is s the . .
"Mimosa, you're going that way.","si tu es ' as , , , , , .","if you are , , , , you are ."
Can I just say one thing? I just want to...,"je ne te ' pas , , ' , , ' ' , , ' .","i don ' t want to , , , , i , ."
I feel bad if you don't have a knife.,"je n ' aurais pas pas un sou , tu , tu es ' as pas , , ' un ton de .","i don not t to you , , , , , you , you you are a a . ."
What?,quelle folie ?,what a nice ?
So I'll give you a knife.,"je vous ai ' ai , , ' un ton de , ' un coup… .","i have a , , , i am a ."
Got one. Take it.,"un ' est , , ' il y a des rentes .","there are cowards , he ."
"No, no, no. Grab that knife, Jack.","non , non , , , , , , , , , , , , , , ' ' , , ' ' .","no , no , no , no , , , , , , , , , , ."
I don't want to take it.,"je ne ' ai pas , , ' ' , , ' ' .","i have no more , , i ."
"The whole principle is if you're going to steal,","ce serait ' est pas ' un , , , , , , , , , , , .","it ' s a , , , , , , , , , , ."
then you've got to live with the consequences of looking like a bit of a villain.,"puis , tu es un de de , , de la , , de la , , de la , , de la ' un de de .","then , the the , , , , and the , , , , , and the , of the , , and the ."
"Isabel, what was that about?","mme raquin , qu ' elle aurait pu , à la ' , de la ' , de la ' , et de ' , , et de ' .","madame raquin , she and , and she , and the , , and the to the her ."
"I think a knife is essential, and if you didn't have that,","je ' ' ai un , tu es ' es pas , , tu es ' es pas , tu es un .","i have a , , i i , you you you are not a , and you . you are ."
I couldn't imagine going into the bush without one.,"je ne pouvais pas , , , ' il ne ' pas pas la moindre de .","i don not t , , , , , , not to to ."
"Isabel, you're being nice right off the bat.","vous , , , , , , ' un de , , , ' un .","then , , , , , , a a a a . ."
Yeah.,"mme raquin , ' ' .",madame raquin .
I'm confused by your strategy.,"je suis votre que j ' ai de , , de la ' , de ' un .","i am a fool , i , i i , the the of the . ."
"Well, I have morals, and I have a moral compass as well,","eh bien , je ' ai , , je ' ai ' ai , , je ' ai ' ai ' un , ' un .","well , i i , i i i , i i ."
"and so, you know, I feel bad for them as well.","et , quand je ' ai , , , , , , ' ai , , ' un de ' , .","and , i , i , i , , , , ."
"It is a game at the end of the day, and it was just part of the strategy.","il y avait une heure , , ' il y avait une sorte de ' , ,","there was a a , , , and a a , and a a of a ."
"Awesome, mate. There's our beach.","nous sommes , , , , ' il y a des hommes .","now , he , , , the the ."
This is wicked.,c ' est bien que ' ' .,it is s true .
"Is that a point break over there, Tom?","c ' est une ' , , , , , , , , , , , , , , .","it ' s a , , , , , , , , , , , , ."
"Yeah, mate.","elle , ' , , ' ' .",she she .
"This is our home for the next however long, guys.","ce fut , la nuit , il se ' à la ' , , et de la ' .","it was , , and the the the the the the ."
"Walking together, we were all really stoked, you know, for winning,","ce soir , , , , , , , , , , , , , , , , nous .","that she was , , , , , , , , , , , , , , , , ."
"and we're just carrying all our goods, and we're looking out in the ocean,","et nous nous , nous , nous , , nous , , nous , , nous , , nous , nous nous .","and we we we , we , we , we , we , we , and we , we , we were to ."
"and you see these pelicans, and you realise,","et et vous , , , , tu es ' as pas , et tu es malin… .","and , , you are right , and you , you are , and you ."
"wow, we're not in South Auckland anymore.","nous sommes , nous , nous ne nous pas pas , , nous ne nous pas pas .","we are not , we we , not to to , we , we , we , we , we , we , we , we , we , we , to the ."
"Oh, yeah.","et , ' elle se ' dans la chambre .",and she went to the the .
Nice.,un jour de,a day night .
"And as soon as we saw our flag, we knew, oh, this is home base.","et nous nous , nous , nous , nous , nous , nous , nous , nous , nous , nous , nous .","then , we we we , we , we , we , we , we , we are ."
"Yeah, it sunk in. We're here.","un jour , nous sommes , , nous , , nous , nous .","one day , we we , we , we , we shall be a . ."
"One, two, three.","deux heures , lorsque la nuit ,","but nine o ' clock , the the"
Muggerton!,"un jour ,",a day night .
Woods!,"' a pas de ' ,",no doubt .
"We'll go over here in the shade, and we'll just get out of the asylum,","nous sommes tous mortels , nous , nous , nous , nous , nous , nous nous .","we must have , and , , we , we , we , we , we , we were to ."
"and we'll have a quick chat, and then we'll get into it.","et nous avons un , nous , , nous , , nous , , nous nous , nous .","then we must have , , , we , we , we , we , we were to ."
You can leave all your gear here.,"vous , , , ' as , , de la .","you , , , , , ."
