Start Time,End Time,Sentence,Corrected Sentence,Translation,Student_Emotion,Pipeline_Emotion,Core_Pipeline_Emotion,Corrected_Emotion
"00:58:21,000","00:58:23,000",Ik ben benieuwd.,Ik ben benieuwd.,I'm curious.,neutral,curiosity,neutral,neutral
"00:58:41,000","00:58:43,000",Hij heeft sowieso mijn pin mee.,Hij heeft sowieso mijn pin mee.,He has my pin anyway.,neutral,neutral,neutral,neutral
"00:58:47,000","00:58:50,000","Let's go, let's go, let's go, let's go, let's go.","Let's go, let's go, let's go, let's go, let's go.","Let's go, let's go, let's go, let's go, let's go.",happiness,excitement,happiness,happiness
"00:58:52,000","00:58:53,000",Ja.,Ja.,And.,neutral,neutral,neutral,neutral
"00:58:55,000","00:58:56,000",Niet doen.,Niet doen.,Do not.,fear,disapproval,disgust,disgust
"00:58:57,000","00:58:58,000",Ik ben de soulmate.,Ik ben de soulmate.,I am the soulmate.,neutral,joy,happiness,happiness
"00:59:11,000","00:59:12,000",Bro!,Bro!,Bro!,surprise,joy,happiness,happiness
"00:59:18,000","00:59:20,000",Ik hoop dat je er blij mee bent.,Ik hoop dat je er blij mee bent.,I hope you are happy with it.,happiness,caring,happiness,happiness
"00:59:21,000","00:59:23,000","Dank je, big brother.","Dank je, big brother.","Thank you, big brother.",happiness,gratitude,happiness,happiness
"00:59:27,000","00:59:28,000",Ah!,Ah!,Ah!,surprise,surprise,surprise,surprise
"00:59:28,000","00:59:31,000",Hij voelde het al kut. Hij kwam als enige met koffer.,Hij voelde het al kut. Hij kwam als enige met koffer.,He already felt bad. He was the only one who came with a suitcase.,sadness,sadness,sadness,sadness
"00:59:31,000","00:59:34,000",Dat voelde hij al kut. Nu heeft hij ook nog geen duo.,Dat voelde hij al kut. Nu heeft hij ook nog geen duo.,He already felt bad about that. Now he doesn't have a duo yet either.,sadness,sadness,sadness,sadness
"00:59:36,000","00:59:37,000",Dank je.,Dank je.,Thank you.,happiness,gratitude,happiness,happiness
"00:59:38,000","00:59:39,000",Dat is moet.,Dat is moet.,That's a must.,neutral,approval,happiness,neutral
"00:59:40,000","00:59:41,000",Dat is geen sleutel.,Dat is geen sleutel.,That's not a key.,neutral,disappointment,sadness,neutral
"00:59:47,000","00:59:49,000",Hallo.,Hallo.,Hallo.,neutral,neutral,neutral,neutral
"01:00:00,000","01:00:03,000","Ja, is ook zo. Maar ja, ik ben een mens-mens, dus iedereen is anders.","Ja, is ook zo. Maar ja, ik ben een mens-mens, dus iedereen is anders.","Yes, that is true. But hey, I'm a human being, so everyone is different.",neutral,realization,surprise,neutral
"01:00:03,000","01:00:05,000",Goed. Let's go.,Goed. Let's go.,Good. Let's go.,neutral,excitement,happiness,happiness
"01:00:05,000","01:00:07,000",Let's go. Even stil.,Let's go. Even stil.,Let's go. Even stil.,neutral,excitement,happiness,happiness
"01:00:07,000","01:00:09,000",Kitsune.,Kitsune.,Kitsune.,neutral,neutral,neutral,neutral
"01:00:10,000","01:00:12,000","Hype, hype.","Hype, hype.","Hype, hype.",happiness,excitement,happiness,happiness
"01:00:13,000","01:00:15,000",Slecht.,Slecht.,Bad.,neutral,disapproval,disgust,neutral
"01:00:19,000","01:00:21,000",Ja.,Ja.,And.,neutral,neutral,neutral,neutral
"01:00:23,000","01:00:25,000",Zie ze.,Zie ze.,See them.,neutral,neutral,neutral,neutral
"01:00:25,000","01:00:27,000",Ja.,Ja.,And.,neutral,neutral,neutral,neutral
"01:00:27,000","01:00:29,000",Ja.,Ja.,And.,neutral,neutral,neutral,neutral
"01:00:40,000","01:00:42,000",Die zit hier.,Die zit hier.,It's here.,neutral,realization,surprise,neutral
"01:00:42,000","01:00:44,000","Ja, die krijgt het wel, hè.","Ja, die krijgt het wel, hè.","Yeah, he'll get it, won't he?",neutral,optimism,happiness,happiness
"00:28:04,000","00:28:06,000","Ik had eigenlijk... Ja, ga wat uitdoen, gelijk.","Ik had eigenlijk... Ja, ga wat uitdoen, gelijk.","I actually… Yeah, go take something off, right.",neutral,realization,surprise,surprise
"00:28:06,000","00:28:09,000","Ik had gewoon... Ik denk inderdaad, laat het gewoon lekker uitdoen.","Ik had gewoon... Ik denk inderdaad, laat het gewoon lekker uitdoen.","I just... I think, just let it go.",neutral,acceptance,neutral,neutral
"00:28:09,000","00:28:10,000","Boeien, we zijn thuis.","Boeien, we zijn thuis.","Never mind, we're home.",neutral,relief,happiness,neutral
"00:28:11,000","00:28:13,000",Maar de normen en waarden van ons...,Maar de normen en waarden van ons...,But the norms and values ​​of our...,neutral,neutral,neutral,neutral
"00:28:13,000","00:28:15,000","Ja, dat zijn allemaal bepaalde dingen.","Ja, dat zijn allemaal bepaalde dingen.","Yes, those are all certain things.",neutral,neutral,neutral,neutral
"00:28:15,000","00:28:18,000",Zeg maar kammen in de keuken kan niet.,Zeg maar kammen in de keuken kan niet.,You can't just comb in the kitchen.,neutral,disapproval,disgust,disgust
"00:28:18,000","00:28:19,000",Nee. Dat moet in de badkamer.,Nee. Dat moet in de badkamer.,No. That has to be in the bathroom.,neutral,approval,happiness,neutral
"00:28:19,000","00:28:24,000","Ja. Harenwassen in de keuken kan niet, zeg maar, onder de kraan.","Ja. Harenwassen in de keuken kan niet, zeg maar, onder de kraan.","Yes. You cannot wash your hair in the kitchen, say, under the tap.",neutral,disapproval,disgust,disgust
"00:28:24,000","00:28:26,000",Ja. Dat is niet.,Ja. Dat is niet.,Yes. That is not.,neutral,disapproval,disgust,neutral
"00:28:26,000","00:28:28,000",Dat moet hygiënisch schoon blijven. Ja.,Dat moet hygiënisch schoon blijven. Ja.,This must remain hygienically clean. Yes.,neutral,approval,happiness,neutral
"00:28:28,000","00:28:30,000",Omdat er eten gemaakt wordt. Ja.,Omdat er eten gemaakt wordt. Ja.,Because food is made. Yes.,neutral,neutral,neutral,neutral
"00:28:30,000","00:28:35,000","Maar andersom ook. Als ik, zeg maar, merk dat jij ergens last van hebt...","Maar andersom ook. Als ik, zeg maar, merk dat jij ergens last van hebt...","But also the other way around. If, say, I notice that something is bothering you...",neutral,caring,happiness,happiness
"00:28:35,000","00:28:37,000",dan zou ik de rekeningskap mee houden.,dan zou ik de rekening mee houden.,then I would take that into account.,neutral,caring,happiness,neutral
"00:28:37,000","00:28:39,000",Dat jij niet in die situatie komt. Ja.,Dat jij niet in die situatie komt. Ja.,That you don't end up in that situation. Yes.,neutral,caring,happiness,happiness
"00:28:39,000","00:28:41,000",En ik ook niet in die situatie kom. Ja.,En ik ook niet in die situatie kom. Ja.,And I don't get into that situation either. Yes.,neutral,relief,happiness,happiness
"00:28:41,000","00:28:43,000",Snel naar de volgende bewoner.,Snel naar de volgende bewoner.,Quickly to the next resident.,neutral,excitement,happiness,happiness
"00:28:43,000","00:28:45,000",Ze werkt in de horeca en op een basisschool.,Ze werkt in de horeca en op een basisschool.,She works in the catering industry and at a primary school.,neutral,neutral,neutral,neutral
"00:28:46,000","00:28:50,000",Valt op spierbundels en wordt behoorlijk onvoorspelbaar als ze boos wordt.,Valt op spierbundels en wordt behoorlijk onvoorspelbaar als ze boos wordt.,She has a lot of muscle and becomes quite unpredictable when she gets angry.,neutral,fear,fear,fear
"00:28:50,000","00:28:53,000","Wat dat voor haar medebewoner zal betekenen, dat gaan we zien.","Wat dat voor haar medebewoner zal betekenen, dat gaan we zien.",We'll see what that will mean for her fellow resident.,neutral,curiosity,neutral,neutral
"00:28:53,000","00:28:57,000",Sinds 26 jaar komt uit Antwerpen. Hier is Sonja.,Sinds 26 jaar komt uit Antwerpen. Hier is Sonja.,Comes from Antwerp for 26 years. Here's Sonja.,neutral,neutral,neutral,neutral
"00:28:59,000","00:29:00,000",Hey.,Hey.,Hey.,neutral,neutral,neutral,neutral
"00:29:02,000","00:29:04,000","Sonja, welkom. Hallo.","Sonja, welkom. Hallo.","Sonja, welcome. Hello.",neutral,joy,happiness,happiness
"00:29:04,000","00:29:06,000",Uit Antwerpen? Ja.,Uit Antwerpen? Ja.,From Antwerp? Yes.,neutral,neutral,neutral,neutral
"00:29:06,000","00:29:08,000","Klopt, klopt, klopt. Hoe gaat het?","Klopt, klopt, klopt. Hoe gaat het?","Right, right, right. How are you?",neutral,curiosity,neutral,neutral
"00:29:08,000","00:29:11,000",Goed. Ik ben een beetje zenuwachtig. Waarom?,Goed. Ik ben een beetje zenuwachtig. Waarom?,Good. I'm a little bit nervous. Why?,neutral,nervousness,fear,fear
"00:29:11,000","00:29:14,000",Omdat ik gewoon niet weet wat er gaat komen.,Omdat ik gewoon niet weet wat er gaat komen.,Because I just don't know what's coming.,neutral,fear,fear,fear
"00:29:14,000","00:29:18,000","Ik heb gehoord dat als jij boos wordt, het echt uit de hand kan lopen.","Ik heb gehoord dat als jij boos wordt, het echt uit de hand kan lopen.","I've heard that if you get angry, things can really get out of hand.",neutral,fear,fear,fear
"00:29:18,000","00:29:21,000",Ja. Kan je daar iets meer uitleg over geven?,Ja. Kan je daar iets meer uitleg over geven?,Yes. Can you explain a little more about that?,neutral,curiosity,neutral,neutral
"00:29:21,000","00:29:23,000",Ja. Ik probeer altijd wel rustig te blijven.,Ja. Ik probeer altijd wel rustig te blijven.,Yes. I always try to stay calm.,neutral,neutral,neutral,neutral
"00:29:24,000","00:29:27,000","Maar als het echt teveel wordt, als mijn glas vol wordt...","Maar als het echt teveel wordt, als mijn glas vol wordt...","But when it really gets too much, when my glass gets full...",neutral,anger,anger,anger
"00:29:27,000","00:29:28,000",dan kan ik wel...,dan kan ik wel...,then I can...,neutral,anger,anger,neutral
"00:29:30,000","00:29:32,000",We staan hier bij de familie en vrienden van Sonja.,We staan hier bij de familie en vrienden van Sonja.,We are here with Sonja's family and friends.,neutral,joy,happiness,happiness
"00:29:32,000","00:29:35,000",De mooie karakter-eigenschappen van Sonja?,De mooie karakter-eigenschappen van Sonja?,Sonja's beautiful character traits?,neutral,admiration,happiness,neutral
"00:29:35,000","00:29:37,000",Een heel groot hart. Ja.,Een heel groot hart. Ja.,A very big heart. Yes.,neutral,admiration,happiness,happiness
"00:29:37,000","00:29:43,000","En trouw. Trouw aan haar familie, trouw aan haar principes, trouw aan haar eigen waardes.","En trouw. Trouw aan haar familie, trouw aan haar principes, trouw aan haar eigen waardes.","And faithful. Loyal to her family, loyal to her principles, loyal to her own values.",neutral,admiration,happiness,happiness
"00:29:43,000","00:29:46,000",Ik krijg toch ook net iets heel moois te horen.,Ik krijg toch ook net iets heel moois te horen.,I also just heard something very nice.,neutral,joy,happiness,happiness
"00:29:46,000","00:29:49,000",Dat de band met mama zo groot en zo belangrijk is.,Dat de band met mama zo groot en zo belangrijk is.,That the bond with mom is so great and so important.,neutral,admiration,happiness,happiness
"00:29:49,000","00:29:53,000","Echt. Mijn mama, die zit daar, die is echt mijn nummer één.","Echt. Mijn mama, die zit daar, die is echt mijn nummer één.","Real. My mom, she's sitting there, she's really my number one.",neutral,love,happiness,happiness
"00:29:53,000","00:29:57,000","En ja, die ga ik ook het meeste missen. Echt het meeste.","En ja, die ga ik ook het meeste missen. Echt het meeste.","And yes, I will miss that the most. Really the most.",neutral,sadness,sadness,sadness
"00:29:57,000","00:29:58,000",Maar het komt goed.,Maar het komt goed.,But it will be fine.,neutral,optimism,happiness,happiness
"00:30:00,000","00:30:01,000",dat ze de koffer mee mag nemen?,dat ze de koffer mee mag nemen?,that she can take the suitcase with her?,neutral,curiosity,neutral,neutral
"00:30:01,000","00:30:02,000",Ik denk van niet.,Ik denk van niet.,I do not think so.,neutral,disapproval,disgust,neutral
"00:30:02,000","00:30:03,000","Nee, die vraag zet ik me dus niet zo.","Nee, die vraag zet ik me dus niet zo.","No, I don't ask that question like that.",neutral,annoyance,anger,anger
"00:30:03,000","00:30:04,000",Anders zou ik het niet brengen.,Anders zou ik het niet brengen.,Otherwise I wouldn't bring it.,neutral,neutral,neutral,neutral
"00:27:17,000","00:27:19,000","Rustig, rustig.","Rustig, rustig.",Calm down.,Neutral,neutral,neutral,neutral
"00:27:19,000","00:27:21,000","Rustig, rustig.","Rustig, rustig.",Calm down.,Neutral,neutral,neutral,neutral
"00:27:21,000","00:27:23,000","Rustig, rustig.","Rustig, rustig.",Calm down.,Neutral,neutral,neutral,neutral
"00:27:23,000","00:27:25,000",Wacht even.,Wacht even.,Wait a second.,Neutral,anticipation,happiness,neutral
"00:27:26,000","00:27:28,000",Gaat te snel in één keer.,Gaat te snel in één keer.,It's going too fast at once.,Neutral,nervousness,fear,fear
"00:27:28,000","00:27:31,000",Ik hoop gewoon constant op fouten van de anderen.,Ik hoop gewoon constant op fouten van de anderen.,I just constantly hope for mistakes from the others.,Neutral,anticipation,happiness,neutral
"00:27:31,000","00:27:33,000","Rustig, rustig.","Rustig, rustig.",Calm down.,Neutral,neutral,neutral,neutral
"00:27:33,000","00:27:35,000","Rustig, rustig.","Rustig, rustig.",Calm down.,Neutral,neutral,neutral,neutral
"00:27:35,000","00:27:37,000","Godver, we bewegen niet.","Godver, we bewegen niet.","Damn, we're not moving.",Anger,annoyance,anger,anger
"00:27:37,000","00:27:39,000","We moeten sneller, anders halen we het niet.","We moeten sneller, anders halen we het niet.",We have to go faster or we won't make it.,Neutral,nervousness,fear,fear
"00:27:39,000","00:27:41,000",We moeten echt sneller. Rustig aan.,We moeten echt sneller. Rustig aan.,We really need to go faster. Slow down.,Neutral,confusion,sadness,sadness
"00:27:41,000","00:27:43,000",Rustig. Rustig.,Rustig. Rustig.,Calm down.,Neutral,neutral,neutral,neutral
"00:27:46,000","00:27:48,000","Wacht, wacht, wacht. Je bent er bijna.","Wacht, wacht, wacht. Je bent er bijna.","Wait, wait, wait. You're almost there.",Neutral,anticipation,happiness,happiness
"00:27:48,000","00:27:50,000","Ik ga springen. Ja, doe.","Ik ga springen. Ja, doe.","I'm gonna jump. Yes, I will.",Neutral,determination,neutral,neutral
"00:27:50,000","00:27:52,000",Ja!,Ja!,And!,Happiness,excitement,happiness,happiness
"00:28:01,000","00:28:03,000","Ja, dan sta je voor.","Ja, dan sta je voor.","Yes, then you are ahead.",Neutral,admiration,happiness,neutral
"00:28:03,000","00:28:05,000",Dan hoor je de eerste cracks in het andere team.,Dan hoor je de eerste cracks in het andere team.,Then you hear the first cracks in the other team.,Neutral,satisfaction,happiness,neutral
"00:28:05,000","00:28:08,000",Ik hoorde een beetje geschreeuw daar zelfs.,Ik hoorde een beetje geschreeuw daar zelfs.,I even heard a little screaming there.,Neutral,surprise,surprise,neutral
"00:28:08,000","00:28:10,000","Komaan, Bernard!","Komaan, Bernard!","Come on, Bernard!",Happiness,encouragement,happiness,happiness
"00:28:10,000","00:28:12,000",Ik ben er!,Ik ben er!,I'm here!,Happiness,relief,happiness,happiness
"00:28:12,000","00:28:14,000",Kom.,Kom.,Come on.,Neutral,encouragement,happiness,neutral
"00:28:14,000","00:28:16,000","Dan kijk ik naar die stokjes en denk ik, die hangen hoog.","Dan kijk ik naar die stokjes en denk ik, die hangen hoog.","Then I look at those sticks and I think, they are hanging high.",Neutral,realization,surprise,surprise
"00:28:16,000","00:28:18,000",Dan kom ik daarbij.,Dan kom ik daarbij.,Then I come to that.,Neutral,neutral,neutral,neutral
"00:28:19,000","00:28:22,000","Yes! Lekker in het water komen, is dat.","Yes! Lekker in het water komen, is dat.",Yes! It's nice to get into the water.,Happiness,joy,happiness,happiness
"00:28:32,000","00:28:34,000",Ik wil het gewoon heel goed doen.,Ik wil het gewoon heel goed doen.,I just want to do really well.,Neutral,desire,happiness,neutral
"00:28:34,000","00:28:37,000",Ik wil mezelf nu even bewijzen dat ik dit kan.,Ik wil mezelf nu even bewijzen dat ik dit kan.,Now I just want to prove to myself that I can do this.,Neutral,determination,neutral,neutral
"00:28:37,000","00:28:40,000","Maar goed, ik ben wel een beetje zenuwachtig.","Maar goed, ik ben wel een beetje zenuwachtig.","Anyway, I'm a little nervous.",Fear,nervousness,fear,fear
"00:28:48,000","00:28:50,000",Ja!,Ja!,And!,Happiness,neutral,neutral,happiness
"00:28:50,000","00:28:52,000",Pak hem!,Pak hem!,Pak hem!,Surprise,neutral,neutral,neutral
"00:28:52,000","00:28:54,000",Ik ben eigenlijk op Sebas aan het letten.,Ik ben eigenlijk op Sebas aan het letten.,I'm actually watching Sebas.,Neutral,curiosity,neutral,neutral
"00:28:54,000","00:28:56,000",Eén.,Eén.,A.,Neutral,neutral,neutral,neutral
"00:28:56,000","00:28:58,000",Twee.,Twee.,Two.,Neutral,neutral,neutral,neutral
"00:28:58,000","00:29:00,000","Ik denk, het voelt eigenlijk best wel oké.","Ik denk, het voelt eigenlijk best wel oké.","I think, it actually feels pretty okay.",Neutral,optimism,happiness,happiness
"00:29:00,000","00:29:02,000",Het is best wel veel grip.,Het is best wel veel grip.,It's quite a lot of grip.,Neutral,realization,surprise,surprise
"00:29:02,000","00:29:04,000",Lekker aan het steppen.,Lekker aan het steppen.,Enjoying the scooter ride.,Happiness,joy,happiness,happiness
"00:29:04,000","00:29:06,000",Heel lekker bezig blijven.,Heel lekker bezig blijven.,Keep up the good work.,Happiness,approval,happiness,happiness
"00:29:06,000","00:29:08,000",Lekker bij het zoepen.,Lekker bij het zoepen.,Delicious with a drink.,Happiness,joy,happiness,happiness
"00:29:08,000","00:29:10,000",Hoek eruit.,Hoek eruit.,Cut out the corner.,Neutral,neutral,neutral,neutral
"00:29:10,000","00:29:12,000",Ik heb een klein muziekje in mijn hoofd en dan kunnen we lekker gaan.,Ik heb een klein muziekje in mijn hoofd en dan kunnen we lekker gaan.,I have a little music in my head and then we can go.,Neutral,excitement,happiness,neutral
"00:29:12,000","00:29:14,000",Eén.,Eén.,A.,Neutral,neutral,neutral,neutral
"00:29:14,000","00:29:16,000",Twee.,Twee.,Two.,Neutral,neutral,neutral,neutral
"00:29:16,000","00:29:18,000",En het lijkt een soort aerobics te worden.,En het lijkt een soort aerobics te worden.,And it seems to be becoming some kind of aerobics.,Neutral,realization,surprise,neutral
"00:29:24,000","00:29:26,000",Ik denk dat je er bent.,Ik denk dat je er bent.,I think you're there.,Neutral,neutral,neutral,neutral
"00:29:26,000","00:29:28,000","Ja, stop dan.","Ja, stop dan.","Me, stop day.",Anger,neutral,neutral,neutral
"00:22:07,000","00:22:10,000",Die moet via deze mysterieuze spiegeldeur.,Die moet via deze mysterieuze spiegeldeur.,That must go through this mysterious mirrored door.,neutral,curiosity,neutral,neutral
"00:22:10,000","00:22:13,000","En wat dat inhoudt, je raadt het al, dat weet maar één iemand.","En wat dat inhoudt, je raadt het al, dat weet maar één iemand.","And what that means, you guessed it, only one person knows.",neutral,curiosity,neutral,neutral
"00:22:13,000","00:22:15,000",Big Brother himself.,Big Brother himself.,Big Brother himself.,neutral,neutral,neutral,neutral
"00:22:23,000","00:22:26,000","Welkom terug, je kijkt naar Big Brother.","Welkom terug, je kijkt naar Big Brother.","Welcome back, you're watching Big Brother.",neutral,joy,happiness,neutral
"00:22:26,000","00:22:29,000",Een nieuw seizoen is aangebroken en zojuist heb je kunnen zien...,Een nieuw seizoen is aangebroken en zojuist heb je kunnen zien...,A new season has arrived and you have just seen...,neutral,excitement,happiness,neutral
"00:22:29,000","00:22:31,000",dat er al vijf mensen het huis hebben betreden.,dat er al vijf mensen het huis hebben betreden.,that five people have already entered the house.,neutral,realization,surprise,surprise
"00:22:31,000","00:22:35,000",Eén van die vijf zit opgesloten in het geheime huis.,Eén van die vijf zit opgesloten in het geheime huis.,One of those five is locked in the secret house.,neutral,surprise,surprise,neutral
"00:22:35,000","00:22:38,000","Ja, je merkt het al, heel veel is anders dan anders.","Ja, je merkt het al, heel veel is anders dan anders.","Yes, you already notice, a lot is different than usual.",surprise,realization,surprise,surprise
"00:22:38,000","00:22:40,000",Dat geldt ook voor hoe het spel dit jaar gespeeld moet worden.,Dat geldt ook voor hoe het spel dit jaar gespeeld moet worden.,That also applies to how the game should be played this year.,neutral,neutral,neutral,neutral
"00:22:41,000","00:22:43,000","Vorig jaar stond je er helemaal alleen voor, nu niet.","Vorig jaar stond je er helemaal alleen voor, nu niet.","Last year you were all alone, not now.",neutral,realization,surprise,neutral
"00:22:44,000","00:22:46,000",Big Brother heeft iets totaal anders in gedachten.,Big Brother heeft iets totaal anders in gedachten.,Big Brother has something completely different in mind.,neutral,curiosity,neutral,neutral
"00:22:46,000","00:22:48,000",Je hebt al kunnen zien dat een aantal mensen...,Je hebt al kunnen zien dat een aantal mensen...,You have already seen that a number of people...,neutral,neutral,neutral,neutral
"00:22:48,000","00:22:50,000",hun koffers hier in de studio moesten achterlaten.,hun koffers hier in de studio moesten achterlaten.,had to leave their suitcases here in the studio.,neutral,disappointment,sadness,neutral
"00:22:50,000","00:22:53,000",En één iemand zijn spullen wel mocht meenemen.,En één iemand zijn spullen wel mocht meenemen.,And one person was allowed to take his belongings with him.,neutral,neutral,neutral,neutral
"00:22:53,000","00:22:56,000",Die koffers zijn inmiddels naar een donkere ruimte gebracht.,Die koffers zijn inmiddels naar een donkere ruimte gebracht.,Those suitcases have now been taken to a dark room.,neutral,curiosity,neutral,neutral
"00:22:56,000","00:22:58,000",En dat zal ongetwijfeld een reden hebben.,En dat zal ongetwijfeld een reden hebben.,And there will undoubtedly be a reason for that.,anger,curiosity,neutral,neutral
"00:22:58,000","00:23:00,000","Ja, dat denk ik ook.","Ja, dat denk ik ook.","Yes, I think so too.",neutral,agreement,neutral,neutral
"00:23:00,000","00:23:02,000","Ja, ik wil graag nog heel even zeggen...","Ja, ik wil graag nog heel even zeggen...","Yes, I would just like to say...",neutral,anticipation,happiness,sadness
"00:23:02,000","00:23:05,000","dat je ons dag in, dag uit op onze socials kunt volgen.","dat je ons dag in, dag uit op onze socials kunt volgen.","that you can follow us day in, day out on our social media.",neutral,neutral,neutral,neutral
"00:23:05,000","00:23:09,000",En na deze grande opening natuurlijk ook op de streams.,En na deze grande opening natuurlijk ook op de streams.,"And after this grand opening, of course also on the streams.",neutral,excitement,happiness,neutral
"00:23:09,000","00:23:11,000",Wij gaan hier straks de volgende nieuwe bewoner verwelkomen...,Wij gaan hier straks de volgende nieuwe bewoner verwelkomen...,We will soon welcome the next new resident here...,neutral,anticipation,happiness,neutral
"00:23:11,000","00:23:13,000",maar niet voordat we eerst gekeken hebben...,maar niet voordat we eerst gekeken hebben...,but not before we first look...,surprise,curiosity,neutral,neutral
"00:23:14,000","00:23:17,000",hoe de eerste bewoners zich lekker aan het zettelen zijn.,hoe de eerste bewoners zich lekker aan het zettelen zijn.,how the first residents are settling down comfortably.,neutral,curiosity,neutral,neutral
"00:23:17,000","00:23:20,000","Vertel, wie laat je achter, wat doe je?","Vertel, wie laat je achter, wat doe je?","Tell me, who are you leaving behind, what are you doing?",neutral,curiosity,neutral,neutral
"00:23:20,000","00:23:23,000","Ofwel, wie reprenteer je? Ben je single?","Ofwel, wie reprenteer je? Ben je single?","In other words, who are you reprising? Are you single?",disgust,curiosity,neutral,anger
"00:23:23,000","00:23:25,000",Ik ben single.,Ik ben single.,I'm single.,neutral,neutral,neutral,neutral
"00:23:25,000","00:23:27,000","Ja, wie ik achterlaat, zijn vrienden en familie.","Ja, wie ik achterlaat, zijn vrienden en familie.","Yes, those I leave behind are friends and family.",sadness,sadness,sadness,sadness
"00:23:28,000","00:23:29,000",En daarnaast doe ik modellenwerk.,En daarnaast doe ik modellenwerk.,And I also do modeling.,neutral,neutral,neutral,neutral
"00:23:30,000","00:23:31,000",Modellenwerk?,Modellenwerk?,Modeling?,neutral,curiosity,neutral,neutral
"00:23:31,000","00:23:36,000","O, en wat heb je voor opdrachten al een beetje gehad?","O, en wat heb je voor opdrachten al een beetje gehad?","Oh, and what kind of assignments have you already had?",surprise,curiosity,neutral,surprise
"00:23:36,000","00:23:38,000","Je hebt wel een bekend gezicht, maar ik weet het gewoon niet.","Je hebt wel een bekend gezicht, maar ik weet het gewoon niet.","You have a familiar face, but I just don't know it.",neutral,confusion,sadness,sadness
"00:23:39,000","00:23:41,000",Misschien heb je hem gewoon ergens in een tijdschrift of zo gezien?,Misschien heb je hem gewoon ergens in een tijdschrift of zo gezien?,Maybe you just saw it in a magazine or something?,neutral,curiosity,neutral,neutral
"00:23:41,000","00:23:43,000","Nee, tijdschrift kan niet, maar misschien online.","Nee, tijdschrift kan niet, maar misschien online.","No, magazine is not possible, but maybe online.",anger,confusion,sadness,neutral
"00:23:44,000","00:23:47,000","Ja, hier zit een deel van de familie en vrienden van Lemie...","Ja, hier zit een deel van de familie en vrienden van Lemie...","Yes, some of Lemie's family and friends are here…",neutral,joy,happiness,neutral
"00:23:47,000","00:23:52,000","onze nieuwe bewoner, Brigitte, vrouw van Lemie.","onze nieuwe bewoner, Brigitte, vrouw van Lemie.","our new resident, Brigitte, wife of Lemie.",neutral,neutral,neutral,neutral
"00:23:52,000","00:23:53,000",Lemie wil meedoen aan Big Brother...,Lemie wil meedoen aan Big Brother...,Lemie wants to participate in Big Brother...,neutral,excitement,happiness,neutral
