Start Time,End Time,Sentence,Corrected Sentence,Translation,Emotion,Intensity
"00:02:48,000","00:02:52,000",Those ages 30 and over should take into consideration when watching this video.,Those ages 30 and over should take into consideration when watching this video.,Those ages 30 and over should take into consideration when watching this video.,neutral,neutral
"00:03:14,000","00:03:16,000","Come on over, guys!","Come on over, guys!","Come on over, guys!",happiness,moderate
"00:03:16,000","00:03:21,000",I am so excited. Just standing on this beach is unreal.,I am so excited. Just standing on this beach is unreal.,I am so excited. Just standing on this beach is unreal.,happiness,intense
"00:03:21,000","00:03:25,000",I have to keep pinching myself and reminding myself where I am.,I have to keep pinching myself and reminding myself where I am.,I have to keep pinching myself and reminding myself where I am.,happiness,moderate
"00:03:25,000","00:03:28,000","It's just, like, an absolute dream to me.","It's just, like, an absolute dream to me.","It's just, like, an absolute dream to me.",happiness,intense
"00:03:28,000","00:03:33,000","Welcome to Nukaragua, and New Zealand's first ever Survivor.","Welcome to Nukaragua, and New Zealand's first ever Survivor.","Welcome to Nukaragua, and New Zealand's first ever Survivor.",happiness,intense
"00:03:36,000","00:03:40,000","In this first season, 16 of you will be competing against one another","In this first season, 16 of you will be competing against one another","In this first season, 16 of you will be competing against one another",happiness,moderate
"00:03:40,000","00:03:45,000","to see who can outwit, outlast, and outplay the rest,","to see who can outwit, outlast, and outplay the rest,","to see who can outwit, outlast, and outplay the rest,",happiness,moderate
"00:03:45,000","00:03:49,000","and take away $100,000.","and take away $100,000.","and take away $100,000.",happiness,intense
"00:03:50,000","00:03:54,000",I dream of being in a tribal council. I dream of being on the sand.,I dream of being in a tribal council. I dream of being on the sand.,I dream of being in a tribal council. I dream of being on the sand.,happiness,intense
"00:03:54,000","00:03:58,000","I dream of being in the water. Like, this is incredible.","I dream of being in the water. Like, this is incredible.","I dream of being in the water. Like, this is incredible.",happiness,intense
"00:04:00,000","00:04:04,000","Any of you more than happy to be labelled the villain,","Any of you more than happy to be labelled the villain,","Any of you more than happy to be labelled the villain,",surprise,moderate
"00:04:04,000","00:04:08,000",if it means winning this game?,if it means winning this game?,if it means winning this game?,surprise,moderate
"00:04:10,000","00:04:12,000",D?,D?,D?,neutral,neutral
"00:04:12,000","00:04:14,000",D?,D?,D?,neutral,neutral
"00:04:14,000","00:04:16,000",D?,D?,D?,neutral,neutral
"00:04:16,000","00:04:18,000",D?,D?,D?,neutral,neutral
"00:04:19,000","00:04:19,000",D?,D?,D?,neutral,neutral
"00:04:19,000","00:04:20,000",I'm in.,I'm in.,I'm in.,happiness,moderate
"00:04:20,000","00:04:22,000",I'm surprised by your answer.,I'm surprised by your answer.,I'm surprised by your answer.,surprise,mild
"00:04:22,000","00:04:25,000","I think that, generally, I'm gonna be labelled the villain,","I think that, generally, I'm gonna be labelled the villain,","I think that, generally, I'm gonna be labelled the villain,",neutral,neutral
"00:04:25,000","00:04:28,000","just for the way that I look, so I might as well accept that.","just for the way that I look, so I might as well accept that.","just for the way that I look, so I might as well accept that.",neutral,neutral
"00:04:28,000","00:04:34,000","And if it means winning the game, why wouldn't you do whatever it takes?","And if it means winning the game, why wouldn't you do whatever it takes?","And if it means winning the game, why wouldn't you do whatever it takes?",happiness,moderate
"00:04:35,000","00:04:39,000","Michael, do you think D's already looking like the villain?","Michael, do you think D's already looking like the villain?","Michael, do you think D's already looking like the villain?",surprise,mild
"00:04:39,000","00:04:43,000",You never know. Looks can be deceiving.,You never know. Looks can be deceiving.,You never know. Looks can be deceiving.,neutral,neutral
"00:04:43,000","00:04:46,000",Any of you guys think you've got game when it comes to the physical challenges?,Any of you guys think you've got game when it comes to the physical challenges?,Any of you guys think you've got game when it comes to the physical challenges?,surprise,moderate
"00:04:46,000","00:04:47,000",Nathan?,Nathan?,Nathan?,neutral,neutral
"00:04:47,000","00:04:50,000","Maybe a few years ago, but I'm an old man now.","Maybe a few years ago, but I'm an old man now.","Maybe a few years ago, but I'm an old man now.",neutral,neutral
"00:04:50,000","00:04:54,000",Who thinks they can put food on the table?,Who thinks they can put food on the table?,Who thinks they can put food on the table?,surprise,mild
"00:04:54,000","00:04:56,000","Tony, how you gonna do that?","Tony, how you gonna do that?","Tony, how you gonna do that?",surprise,moderate
"00:04:56,000","00:04:59,000","Well, there's a lot of stuff that creeps around out there in the bush.","Well, there's a lot of stuff that creeps around out there in the bush.","Well, there's a lot of stuff that creeps around out there in the bush.",neutral,neutral
"00:04:59,000","00:05:02,000",I'm sure I can come up with something that's edible.,I'm sure I can come up with something that's edible.,I'm sure I can come up with something that's edible.,happiness,mild
"00:05:02,000","00:05:05,000",The things they teach you as a soldier is attention to detail.,The things they teach you as a soldier is attention to detail.,The things they teach you as a soldier is attention to detail.,happiness,mild
"00:05:05,000","00:05:07,000",I'm also a former unit tracker.,I'm also a former unit tracker.,I'm also a former unit tracker.,happiness,mild
"00:05:07,000","00:05:09,000",I can track a human through the bush.,I can track a human through the bush.,I can track a human through the bush.,happiness,moderate
"00:05:12,000","00:05:15,000","I mean, this environment, yes, it's hot. It's horrible.","I mean, this environment, yes, it's hot. It's horrible.","I mean, this environment, yes, it's hot. It's horrible.",anger,moderate
"00:05:15,000","00:05:17,000","Hey, guess what? There's a survivor.","Hey, guess what? There's a survivor.","Hey, guess what? There's a survivor.",surprise,moderate
"00:05:17,000","00:05:20,000","All right, let's get into it. First things first.","All right, let's get into it. First things first.","All right, let's get into it. First things first.",happiness,moderate
"00:05:20,000","00:05:23,000","The teams, come forward and take your buff.","The teams, come forward and take your buff.","The teams, come forward and take your buff.",neutral,neutral
"00:05:23,000","00:05:26,000","Orange buffs, your mogaton.","Orange buffs, your mogaton.","Orange buffs, your mogaton.",neutral,neutral
"00:05:26,000","00:05:28,000",Sala.,Sala.,Sala.,neutral,neutral
"00:05:33,000","00:05:35,000",Woo-hoo!,Woo-hoo!,Woods!,neutral,neutral
"00:05:35,000","00:05:37,000",Anna.,Anna.,Anna.,neutral,neutral
"00:05:37,000","00:05:40,000",I am a plus-size model.,I am a plus-size model.,I am a plus-size model.,happiness,mild
"00:05:40,000","00:05:43,000",I play roller derby.,I play roller derby.,I play roller derby.,happiness,mild
"00:05:43,000","00:05:46,000",And I am a powerlifter.,And I am a powerlifter.,And I am a powerlifter.,happiness,mild
"00:05:46,000","00:05:48,000",Abi.,Abi.,Abi.,neutral,neutral
"00:05:50,000","00:05:52,000",Isabel.,Isabel.,Isabel.,neutral,neutral
"00:05:52,000","00:05:55,000",I'm here on Survivor because I can't resist a challenge.,I'm here on Survivor because I can't resist a challenge.,I'm here on Survivor because I can't resist a challenge.,happiness,moderate
"00:05:55,000","00:05:57,000","I love proving people wrong,","I love proving people wrong,","I love proving people wrong,",happiness,moderate
"00:05:57,000","00:05:59,000",and I just love it when people get surprised,and I just love it when people get surprised,and I just love it when people get surprised,happiness,moderate
"00:05:59,000","00:06:02,000","and they think I can't do something, and then I do it.","and they think I can't do something, and then I do it.","and they think I can't do something, and then I do it.",happiness,intense
"00:06:02,000","00:06:04,000",Tom.,Tom.,Tom.,neutral,neutral
"00:06:07,000","00:06:09,000","Gosh, my heart's racing.","Gosh, my heart's racing.","Gosh, my heart's racing.",fear,intense
"00:06:09,000","00:06:11,000",Shaina.,Shaina.,Shaina.,neutral,neutral
"00:06:13,000","00:06:15,000",Anthony.,Anthony.,Anthony.,neutral,neutral
"00:06:16,000","00:06:18,000",Anthony.,Anthony.,Anthony.,neutral,neutral
"00:06:20,000","00:06:24,000","And last but probably not least, Louisa.","And last but probably not least, Louisa.","And last but probably not least, Louisa.",neutral,neutral
"00:06:26,000","00:06:28,000",Thanks. Cheers.,Thanks. Cheers.,Thanks. Cheers.,happiness,mild
"00:06:28,000","00:06:30,000","Sala and Shaina, you're looking pretty stoked.","Sala and Shaina, you're looking pretty stoked.","Sala and Shaina, you're looking pretty stoked.",happiness,mild
"00:06:30,000","00:06:32,000",How are you feeling about your new tribe?,How are you feeling about your new tribe?,How are you feeling about your new tribe?,surprise,mild
"00:06:32,000","00:06:34,000","I've got my brother from another mother over here,","I've got my brother from another mother over here,","I've got my brother from another mother over here,",happiness,mild
"00:06:34,000","00:06:36,000",which I'm really happy about.,which I'm really happy about.,which I'm really happy about.,happiness,moderate
"00:06:36,000","00:06:38,000","Shay, when she walked over and she said, you know,","Shay, when she walked over and she said, you know,","Shay, when she walked over and she said, you know,",neutral,neutral
"00:06:38,000","00:06:40,000","brother from another mother,","brother from another mother,","brother from another mother,",neutral,neutral
"00:06:40,000","00:06:42,000",that saying worried me,that saying worried me,that saying worried me,fear,moderate
"00:06:42,000","00:06:46,000",because it felt like a strategic back-line alliance.,because it felt like a strategic back-line alliance.,because it felt like a strategic back-line alliance.,surprise,mild
"00:06:46,000","00:06:48,000","Your mogaton tribe,","Your mogaton tribe,","Your mogaton tribe,",neutral,neutral
"00:06:48,000","00:06:51,000",named after Ngaragua's highest mountain.,named after Ngaragua's highest mountain.,named after Ngaragua's highest mountain.,neutral,neutral
"00:06:51,000","00:06:54,000","It'll be interesting to see if you can live up to your mighty name,","It'll be interesting to see if you can live up to your mighty name,","It'll be interesting to see if you can live up to your mighty name,",surprise,mild
"00:06:54,000","00:06:56,000",which means purple buffs for you other guys.,which means purple buffs for you other guys.,which means purple buffs for you other guys.,neutral,neutral
"00:06:56,000","00:06:58,000",Barb.,Barb.,Barb.,neutral,neutral
"00:06:58,000","00:07:00,000",Yes! I look good in blue.,Yes! I look good in blue.,Yes! I look good in blue.,happiness,moderate
"00:07:00,000","00:07:02,000","That's purple, isn't it, Barb?","That's purple, isn't it, Barb?","That's purple, isn't it, Barb?",surprise,mild
"00:07:02,000","00:07:04,000","No, but it's a cool colour.","No, but it's a cool colour.","No, but it's a cool colour.",happiness,mild
"00:07:04,000","00:07:06,000",OK. Georgia.,OK. Georgia.,OK. Georgia.,neutral,neutral
"00:07:06,000","00:07:08,000","I don't know why I had this feeling,","I don't know why I had this feeling,","I don't know why I had this feeling,",surprise,moderate
"00:07:08,000","00:07:10,000",but I didn't want to be in that first team.,but I didn't want to be in that first team.,but I didn't want to be in that first team.,sadness,mild
"00:07:10,000","00:07:12,000",I was actually stoked.,I was actually stoked.,I was actually stoked.,happiness,intense
"00:07:12,000","00:07:14,000","When I looked around, saw the members,","When I looked around, saw the members,","When I looked around, saw the members,",surprise,mild
"00:07:14,000","00:07:16,000",I was super happy.,I was super happy.,I was super happy.,happiness,intense
"00:07:16,000","00:07:18,000",Made it.,Made it.,Made it.,happiness,moderate
"00:07:18,000","00:07:20,000",Nathan.,Nathan.,Nathan.,neutral,neutral
"00:07:22,000","00:07:24,000","and even that ride-in on the truck,","and even that ride-in on the truck,","and even that ride-in on the truck,",neutral,neutral
"00:07:24,000","00:07:26,000",you tend to make a bit of a quick connection.,you tend to make a bit of a quick connection.,you tend to make a bit of a quick connection.,surprise,mild
"00:07:26,000","00:07:29,000",Most of the people that I had formed some kind of connection with,Most of the people that I had formed some kind of connection with,Most of the people that I had formed some kind of connection with,happiness,mild
"00:07:29,000","00:07:31,000","were on the other side, so I was pretty gutted.","were on the other side, so I was pretty gutted.","were on the other side, so I was pretty gutted.",sadness,moderate
"00:07:31,000","00:07:33,000",Jack.,Jack.,Jack.,neutral,neutral
"00:07:33,000","00:07:35,000","Cheers, brother. Good, mate.","Cheers, brother. Good, mate.","Cheers, brother. Good, mate.",happiness,mild
"00:07:35,000","00:07:37,000",Shannon.,Shannon.,Shannon.,neutral,neutral
"00:07:37,000","00:07:39,000",Lee.,Lee.,Lee.,neutral,neutral
"00:07:40,000","00:07:42,000",Cheers.,Cheers.,Cheers.,happiness,mild
"00:07:42,000","00:07:44,000",Michael.,Michael.,Michael.,neutral,neutral
"00:07:45,000","00:07:47,000","Cheers, mate.","Cheers, mate.","Cheers, mate.",happiness,mild
"00:07:47,000","00:07:49,000","And, of course, Dee.","And, of course, Dee.","And, of course, Dee.",neutral,neutral
"00:07:51,000","00:07:53,000",Thank you very much. You're welcome.,Thank you very much. You're welcome.,Thank you very much. You're welcome.,happiness,mild
"00:07:54,000","00:07:56,000",Mmm!,Mmm!,Mmm!,neutral,neutral
"00:07:56,000","00:07:58,000","Yeah, guys!","Yeah, guys!","Yeah, guys!",happiness,moderate
"00:07:58,000","00:08:00,000","Purple tribe, Yohamosa,","Purple tribe, Yohamosa,","Purple tribe, Yohamosa,",neutral,neutral
"00:08:00,000","00:08:02,000",named after the bay right here,named after the bay right here,named after the bay right here,neutral,neutral
"00:08:02,000","00:08:04,000",and also Spanish for beautiful.,and also Spanish for beautiful.,and also Spanish for beautiful.,happiness,mild
"00:08:04,000","00:08:06,000",Oh! Barb.,Oh! Barb.,Oh! Barb.,surprise,mild
"00:08:06,000","00:08:08,000","A tribe name perfectly suited to you, I think.","A tribe name perfectly suited to you, I think.","A tribe name perfectly suited to you, I think.",happiness,mild
"00:08:08,000","00:08:10,000",I think it's perfectly an apt name.,I think it's perfectly an apt name.,I think it's perfectly an apt name.,happiness,mild
"00:08:12,000","00:08:14,000","Michael, what are you making?","Michael, what are you making?","Michael, what are you making?",surprise,mild
"00:08:14,000","00:08:16,000",Are you new tribe mates?,Are you new tribe mates?,Are you new tribe mates?,surprise,mild
"00:08:16,000","00:08:18,000","Yeah, I'm really happy with what I got.","Yeah, I'm really happy with what I got.","Yeah, I'm really happy with what I got.",happiness,moderate
"00:08:18,000","00:08:20,000",It looks like we've got a pretty competitive team.,It looks like we've got a pretty competitive team.,It looks like we've got a pretty competitive team.,happiness,moderate
"00:08:20,000","00:08:22,000","So when I look around at the other tribes,","So when I look around at the other tribes,","So when I look around at the other tribes,",surprise,mild
"00:08:22,000","00:08:24,000","as Matt's called them out,","as Matt's called them out,","as Matt's called them out,",neutral,neutral
"00:08:24,000","00:08:26,000","I see that Mike and Lee and Jack and Nathan,","I see that Mike and Lee and Jack and Nathan,","I see that Mike and Lee and Jack and Nathan,",neutral,neutral
"00:08:26,000","00:08:30,000","you know, the people who I had made a quick and easy bond with,","you know, the people who I had made a quick and easy bond with,","you know, the people who I had made a quick and easy bond with,",happiness,mild
"00:08:30,000","00:08:32,000","are on the other side,","are on the other side,","are on the other side,",sadness,mild
"00:08:32,000","00:08:34,000",and I feel like I don't know these people.,and I feel like I don't know these people.,and I feel like I don't know these people.,surprise,moderate
"00:08:34,000","00:08:36,000",Soak up the atmosphere,Soak up the atmosphere,Soak up the atmosphere,happiness,mild
"00:08:36,000","00:08:38,000","and enjoy being part of the team, guys,","and enjoy being part of the team, guys,","and enjoy being part of the team, guys,",happiness,mild
"00:08:38,000","00:08:40,000","because by the end of the day,","because by the end of the day,","because by the end of the day,",neutral,neutral
"00:08:40,000","00:08:43,000",two of you will no longer be in these tribes.,two of you will no longer be in these tribes.,two of you will no longer be in these tribes.,fear,moderate
"00:08:45,000","00:08:47,000",That's right.,That's right.,That's right.,neutral,neutral
"00:08:47,000","00:08:50,000","One person from Mogaton, one from Yohamosa,","One person from Mogaton, one from Yohamosa,","One person from Mogaton, one from Yohamosa,",neutral,neutral
"00:08:53,000","00:08:55,000",Gone.,Gone.,Gone.,sadness,mild
"00:08:55,000","00:08:57,000",Just like that.,Just like that.,Just like that.,surprise,mild
"00:09:02,000","00:09:04,000",Why so worried?,Why so worried?,Why so worried?,surprise,mild
"00:09:04,000","00:09:06,000","That sucks! It's day one,","That sucks! It's day one,","That sucks! It's day one,",sadness,intense
"00:09:06,000","00:09:08,000",and already we've got to vote someone out.,and already we've got to vote someone out.,and already we've got to vote someone out.,sadness,moderate
"00:09:08,000","00:09:10,000",That's so stink.,That's so stink.,That's so stink.,anger,moderate
"00:09:10,000","00:09:12,000","We're not even on the ground,","We're not even on the ground,","We're not even on the ground,",neutral,neutral
"00:09:12,000","00:09:14,000","and bang, someone's going home.","and bang, someone's going home.","and bang, someone's going home.",surprise,moderate
"00:09:14,000","00:09:16,000","Ah, unfair.","Ah, unfair.","Ah, unfair.",anger,moderate
"00:09:16,000","00:09:18,000","Someone has to go home,","Someone has to go home,","Someone has to go home,",sadness,mild
"00:09:18,000","00:09:20,000",and they haven't even been given a chance,and they haven't even been given a chance,and they haven't even been given a chance,sadness,moderate
"00:09:20,000","00:09:22,000",to put their best foot forward.,to put their best foot forward.,to put their best foot forward.,sadness,mild
"00:09:22,000","00:09:24,000",You guys know you're here to play a game?,You guys know you're here to play a game?,You guys know you're here to play a game?,surprise,mild
"00:09:24,000","00:09:26,000",It's a harsh game for day one.,It's a harsh game for day one.,It's a harsh game for day one.,anger,moderate
"00:09:26,000","00:09:28,000",It's a harsh game from day one.,It's a harsh game from day one.,It's a harsh game from day one.,anger,moderate
"00:09:28,000","00:09:31,000",I reckon you guys have got it pretty well worked out already.,I reckon you guys have got it pretty well worked out already.,I reckon you guys have got it pretty well worked out already.,happiness,mild
"00:09:31,000","00:09:33,000",We're not getting into this competition either.,We're not getting into this competition either.,We're not getting into this competition either.,sadness,moderate
"00:09:33,000","00:09:37,000",We're kicking things off with a challenge right now.,We're kicking things off with a challenge right now.,We're kicking things off with a challenge right now.,happiness,moderate
"00:09:38,000","00:09:40,000",Of course we are.,Of course we are.,Of course we are.,neutral,neutral
"00:09:40,000","00:09:42,000",Georgia's feeling pretty good about that.,Georgia's feeling pretty good about that.,Georgia's feeling pretty good about that.,happiness,mild
"00:09:44,000","00:09:46,000",I'm going to give you two minutes,I'm going to give you two minutes,I'm going to give you two minutes,neutral,neutral
"00:09:46,000","00:09:49,000",to clean everything off this boat you can.,to clean everything off this boat you can.,to clean everything off this boat you can.,neutral,neutral
"00:09:49,000","00:09:53,000",Whatever you have on your tribe mat at the finish,Whatever you have on your tribe mat at the finish,Whatever you have on your tribe mat at the finish,neutral,neutral
"00:09:53,000","00:09:55,000",is yours to keep.,is yours to keep.,is yours to keep.,neutral,neutral
"00:09:55,000","00:09:57,000","Come on, guys.","Come on, guys.","Come on, guys.",neutral,neutral
"00:09:57,000","00:09:59,000",It's knives.,It's knives.,It's knives.,neutral,neutral
"00:10:00,000","00:10:05,000",The large sack of rice and flint is locked in the chest in the middle of the boat.,The large sack of rice and flint is locked in the chest in the middle of the boat.,The large sack of rice and flint is locked in the chest in the middle of the boat.,neutral,neutral
"00:10:05,000","00:10:12,000","But, before you get to that, you're going to have to find a key buried under one of these coloured rocks.","But, before you get to that, you're going to have to find a key buried under one of these coloured rocks.","But, before you get to that, you're going to have to find a key buried under one of these coloured rocks.",surprise,mild
"00:10:12,000","00:10:17,000",I have made a fire before without flint. It takes a lot of time and a lot of perseverance.,I have made a fire before without flint. It takes a lot of time and a lot of perseverance.,I have made a fire before without flint. It takes a lot of time and a lot of perseverance.,happiness,mild
"00:10:17,000","00:10:22,000",Survivors ready? Your time starts now. Go!,Survivors ready? Your time starts now. Go!,Survivors ready? Your time starts now. Go!,happiness,intense
"00:10:22,000","00:10:25,000",This challenge is on!,This challenge is on!,This challenge is on!,happiness,intense
"00:10:26,000","00:10:32,000","A bit of strategy already at play here. Both teams going for the key, both teams going for the loot.","A bit of strategy already at play here. Both teams going for the key, both teams going for the loot.","A bit of strategy already at play here. Both teams going for the key, both teams going for the loot.",surprise,mild
"00:10:35,000","00:10:42,000",Tom is digging hard. No one's found the key. Just how important is that rice and that flint?,Tom is digging hard. No one's found the key. Just how important is that rice and that flint?,Tom is digging hard. No one's found the key. Just how important is that rice and that flint?,surprise,moderate
"00:10:42,000","00:10:48,000",Flint creates fire. Fire boils water.,Flint creates fire. Fire boils water.,Flint creates fire. Fire boils water.,surprise,mild
"00:10:48,000","00:10:53,000",Mogga and Tom are getting some good loot already. 90 seconds remaining.,Mogga and Tom are getting some good loot already. 90 seconds remaining.,Mogga and Tom are getting some good loot already. 90 seconds remaining.,happiness,moderate
"00:10:53,000","00:10:59,000","Both tribes working hard. No surprise, Barb's going for the vegetables.","Both tribes working hard. No surprise, Barb's going for the vegetables.","Both tribes working hard. No surprise, Barb's going for the vegetables.",neutral,neutral
"00:10:59,000","00:11:03,000",Zala losing some gravy. Arby's working hard.,Zala losing some gravy. Arby's working hard.,Zala losing some gravy. Arby's working hard.,neutral,neutral
"00:11:03,000","00:11:07,000",Looks like Mogga and Tom have got the front edge at this point.,Looks like Mogga and Tom have got the front edge at this point.,Looks like Mogga and Tom have got the front edge at this point.,happiness,mild
"00:11:07,000","00:11:12,000",Jack is working hard. Tom's still digging.,Jack is working hard. Tom's still digging.,Jack is working hard. Tom's still digging.,neutral,neutral
"00:11:12,000","00:11:17,000",Michael's digging. 30 seconds to go. Dig it in!,Michael's digging. 30 seconds to go. Dig it in!,Michael's digging. 30 seconds to go. Dig it in!,happiness,moderate
"00:11:17,000","00:11:22,000",You've got to start as you mean to go on.,You've got to start as you mean to go on.,You've got to start as you mean to go on.,neutral,neutral
"00:11:22,000","00:11:29,000","Isabel, she has got this game down. No one finds the key, no one gets the rice or that flint.","Isabel, she has got this game down. No one finds the key, no one gets the rice or that flint.","Isabel, she has got this game down. No one finds the key, no one gets the rice or that flint.",happiness,mild
"00:11:29,000","00:11:32,000","It's going to be a dry, hungry night.","It's going to be a dry, hungry night.","It's going to be a dry, hungry night.",sadness,moderate
"00:11:32,000","00:11:38,000","This is it, right here. Isabel testing the rules early in this game.","This is it, right here. Isabel testing the rules early in this game.","This is it, right here. Isabel testing the rules early in this game.",surprise,mild
"00:11:40,000","00:11:52,000","10, 9, 8, 7, 6, 5, 4, 3, 2, 1. Stop! Your time is over.","10, 9, 8, 7, 6, 5, 4, 3, 2, 1. Stop! Your time is over.","10, 9, 8, 7, 6, 5, 4, 3, 2, 1. Stop! Your time is over.",happiness,intense
"00:11:52,000","00:11:56,000","Oh, they're doing it again.","Oh, they're doing it again.","Oh, they're doing it again.",anger,mild
"00:11:56,000","00:12:01,000","Did somebody take that? Oh, great, we're that tribe.","Did somebody take that? Oh, great, we're that tribe.","Did somebody take that? Oh, great, we're that tribe.",anger,moderate
"00:12:01,000","00:12:06,000",It wasn't a nice feeling to see that the other team took most of our good stuff.,It wasn't a nice feeling to see that the other team took most of our good stuff.,It wasn't a nice feeling to see that the other team took most of our good stuff.,sadness,moderate
"00:12:06,000","00:12:11,000",We all got back to the mats and to see that we had hardly anything there.,We all got back to the mats and to see that we had hardly anything there.,We all got back to the mats and to see that we had hardly anything there.,sadness,moderate
"00:12:11,000","00:12:14,000",There was definitely a bit of a blow. They looked pretty smug.,There was definitely a bit of a blow. They looked pretty smug.,There was definitely a bit of a blow. They looked pretty smug.,anger,moderate
"00:12:14,000","00:12:18,000",You got it! Yeah!,You got it! Yeah!,You got it! Yeah!,happiness,intense
"00:12:18,000","00:12:20,000",They were ripping us off.,They were ripping us off.,They were ripping us off.,anger,moderate
"00:12:20,000","00:12:23,000",I actually saw Isabel come along and grab some stuff.,I actually saw Isabel come along and grab some stuff.,I actually saw Isabel come along and grab some stuff.,surprise,mild
"00:12:23,000","00:12:26,000",And I thought maybe they'd just got it on the wrong mat.,And I thought maybe they'd just got it on the wrong mat.,And I thought maybe they'd just got it on the wrong mat.,surprise,mild
"00:12:26,000","00:12:30,000",I cannot believe that I didn't react.,I cannot believe that I didn't react.,I cannot believe that I didn't react.,sadness,moderate
"00:12:30,000","00:12:34,000",They stole our back thing.,They stole our back thing.,They stole our back thing.,anger,moderate
"00:12:34,000","00:12:41,000","I didn't see what she was doing, but it sounded like she stole quite a lot from the other mat.","I didn't see what she was doing, but it sounded like she stole quite a lot from the other mat.","I didn't see what she was doing, but it sounded like she stole quite a lot from the other mat.",anger,moderate
"00:12:45,000","00:12:49,000",I feel a little bit bad for the other swans because they had nothing.,I feel a little bit bad for the other swans because they had nothing.,I feel a little bit bad for the other swans because they had nothing.,happiness,mild
"00:13:05,000","00:13:09,000","Ogaton, looking like the clear winners in this game.","Ogaton, looking like the clear winners in this game.","Ogaton, looking like the clear winners in this game.",happiness,mild
"00:13:09,000","00:13:10,000",Yeah.,Yeah.,Yeah.,neutral,neutral
"00:13:10,000","00:13:12,000","Tony, what was the game plan?","Tony, what was the game plan?","Tony, what was the game plan?",surprise,mild
"00:13:12,000","00:13:14,000","Everyone going hell for leather to get what they could get, eh?","Everyone going hell for leather to get what they could get, eh?","Everyone going hell for leather to get what they could get, eh?",happiness,moderate
